,abstract,stemmed
223,effort find best suitable application mobile learning several research works undertaken till date review related papers unveiled mobile devices act better supporting media teaching learning scenario present worker developed context specific learning modules ie personalized learning contents using ontology based web service architecture experimantal exploration done target audience justify usability content real time environment ensure developed contents acceptable usable usability aspects carefully embedded analysis design development contents paper steps fulfill usability aspects prepared contents described architecture dissemination system designed results study presented,effort find best suitabl applic mobil learn sever research work undertaken till date review relat paper unveil mobil devic act better support media teach learn scenario present worker develop context specif learn modul ie person learn content use ontolog base web servic architectur experimant explor done target audienc justifi usabl content real time environ ensur develop content accept usabl usabl aspect care embed analysi design develop content paper step fulfil usabl aspect prepar content describ architectur dissemin system design result studi present
226,study explored studentsâ acceptance mobile learning via short message service smslearning amongst distance learners universiti sains malaysia study aims examine studentâs acceptance towards language use smslearning content cost communicating also navigation system study employed qualitative methodology data collected questionnaire administered 105 distance education students bachelor management bachelor science bachelor social science bachelor art survey responses tabulated 5point likert scale analyzed using rasch measurement model results indicated simple language used smslearning accepted respondents using language precisely leads high usability smslearning allow academically assist study,studi explor studentsâ accept mobil learn via short messag servic smslearn amongst distanc learner univers sain malaysia studi aim examin studentâ accept toward languag use smslearn content cost communic also navig system studi employ qualit methodolog data collect questionnair administ 105 distanc educ student bachelor manag bachelor scienc bachelor social scienc bachelor art survey respons tabul 5point likert scale analyz use rasch measur model result indic simpl languag use smslearn accept respond use languag precis lead high usabl smslearn allow academ assist studi
229,common majority young people mobile phonein epoch rapid development information technologies time came people mobiles especially among young people high schools researches made school say percentage rate really high 9923 moment educational institutions use opportunity aim improve success students mobile service developed described work first result provides cognitive tool supporting independent learning applying mobile phones wireless communication technology extend learning outside classroom serbiathe service developed times didnât know anything much way mlearning used world,common major young peopl mobil phonein epoch rapid develop inform technolog time came peopl mobil especi among young peopl high school research made school say percentag rate realli high 9923 moment educ institut use opportun aim improv success student mobil servic develop describ work first result provid cognit tool support independ learn appli mobil phone wireless communic technolog extend learn outsid classroom serbiath servic develop time didnât know anyth much way mlearn use world
230,study carried order investigate whether mobile learning using short message service sms method learning adopted students enrolled school distance education universiti sains malaysia adult learners vocation time isolation bane selfstudy since students mobile device receive sms educational messages sent directly devices experimental study explored impact learnerâs characteristic learning design learning environment adoptability study utilised two models data analysis statistical package social science spss version 120 rasch model analysis measurement analysis conducted sample 105 students based gender age ethnicity programme study mobile device ownership students four different courses bachelors science bachelor arts bachelor social science bachelor management questionnaireanswer session administered respective course managers tutorial sessions annual residential intensive course main campus universiti sains malaysia result indicated mobile learning helped pace studies using mobile learning learners easily get information need anytime anywhere learners would also like take another mobile learning assisted course courses relevant learning needs furthermore sms educational content received hand phone easily remembered,studi carri order investig whether mobil learn use short messag servic sms method learn adopt student enrol school distanc educ univers sain malaysia adult learner vocat time isol bane selfstudi sinc student mobil devic receiv sms educ messag sent direct devic experiment studi explor impact learnerâ characterist learn design learn environ adopt studi utilis two model data analysi statist packag social scienc spss version 120 rasch model analysi measur analysi conduct sampl 105 student base gender age ethnic programm studi mobil devic ownership student four differ cours bachelor scienc bachelor art bachelor social scienc bachelor manag questionnaireansw session administ respect cours manag tutori session annual residenti intens cours main campus univers sain malaysia result indic mobil learn help pace studi use mobil learn learner easili get inform need anytim anywher learner would also like take anoth mobil learn assist cours cours relev learn need furthermor sms educ content receiv hand phone easili rememb
254,abstract success implementation quality computer assisted mobile learning distance education technology enhanced learning management system highly rely academic leadership managing application information communication technology ict tertiary level effectiveness leadership knowledge application management ict learning management system utmost important successful application management includes quality cost effectiveness universities administration caml distance education leadership development organizational culture academic staffs studentsâ attitude commitment towards teaching learning process support towards usage state art technoeducational facilities availability ict resources maintenance funding learning management system paper discuss factors present comprehensive framework implementation quality caml distance education environment ict application management malaysian public universities selected fiftytwo respondents two malaysian public universities offer e learning distance education learning management system acquired survey questionnaire used determine effectiveness ict mobile learning application management data questionnaires analyzed using nonparametric parametric statistics testing results study show significant different caml distance education leadership telms application ict management malaysian public universities study also address implementation elements necessary transforming public universities caml distance education teaching learning process effective result oriented computer assisted mobile learning management model public universities,abstract success implement qualiti comput assist mobil learn distanc educ technolog enhanc learn manag system high reli academ leadership manag applic inform communic technolog ict tertiari level effect leadership knowledg applic manag ict learn manag system utmost import success applic manag includ qualiti cost effect univers administr caml distanc educ leadership develop organiz cultur academ staff studentsâ attitud commit toward teach learn process support toward usag state art technoeduc facil avail ict resourc mainten fund learn manag system paper discuss factor present comprehens framework implement qualiti caml distanc educ environ ict applic manag malaysian public univers select fiftytwo respond two malaysian public univers offer e learn distanc educ learn manag system acquir survey questionnair use determin effect ict mobil learn applic manag data questionnair analyz use nonparametr parametr statist test result studi show signific differ caml distanc educ leadership telm applic ict manag malaysian public univers studi also address implement element necessari transform public univers caml distanc educ teach learn process effect result orient comput assist mobil learn manag model public univers
258,use mobile technologies education impacts learner motivation collaboration information sharing mobility interactivity provide opportunities learners teachers university paper investigates use mobile learning technologies higher education proposes blended mobile learning model ability serve emerging learning process delivery provide well balanced learning environment meets current learnersâ needs,use mobil technolog educ impact learner motiv collabor inform share mobil interact provid opportun learner teacher univers paper investig use mobil learn technolog higher educ propos blend mobil learn model abil serv emerg learn process deliveri provid well balanc learn environ meet current learnersâ need
274,research produced mobile language learning game designed within technical context conceptual analysis subject matter ie computerâs motherboard game designed action within game consistent theme story simplifying exaggerating real life elements control feedback sense danger incorporated game producing engaging learning experience vocabularies learned incidentally deliberate vocabulary learning games also added package help students solve common errors,research produc mobil languag learn game design within technic context conceptu analysi subject matter ie computerâ motherboard game design action within game consist theme stori simplifi exagger real life element control feedback sens danger incorpor game produc engag learn experi vocabulari learn incident deliber vocabulari learn game also ad packag help student solv common error
208,paper presents experience design development mlearning webbased system nintendo dsi game console paper starts addressing difficulties emerged lack resources design guidelines dual screen devices also absence adequate techniques methods support design decisions explains overcame challenges adopting design decision suitable screen requirements nintendo dsi console finally present components mlearning system results preliminary usability evaluation,paper present experi design develop mlearn webbas system nintendo dsi game consol paper start address difficulti emerg lack resourc design guidelin dual screen devic also absenc adequ techniqu method support design decis explain overcam challeng adopt design decis suitabl screen requir nintendo dsi consol final present compon mlearn system result preliminari usabl evalu
277,evolution technologies well internet application created new ways communication gives impact regions sectors including educators learners highereducation learning institutions malaysia virtual learning environments well elearning applications pedagogical mechanisms may sound easy quick applied unfortunately rarely used research attempts introduce mlearning âconvenience education,evolut technolog well internet applic creat new way communic give impact region sector includ educ learner highereduc learn institut malaysia virtual learn environ well elearn applic pedagog mechan may sound easi quick appli unfortun rare use research attempt introduc mlearn âconveni educ
306,present state mobile learning jordan investigated order provide meaningful direction future development university eeducation jordan strengths mobile learning elaborated current status including challenging issues perspective cognitive learning addressed online survey conducted investigate expectations perceptions mobile learning amongst university students professors jordan number countries middle east various factors may contribute establishment mobile learning educational institutions investigated expectations concerning impact mobile technologies teaching learning explored results reflect fundamental needs effective implementation mobile learning view cognitive science instead technological evolution,present state mobil learn jordan investig order provid meaning direct futur develop univers eeduc jordan strength mobil learn elabor current status includ challeng issu perspect cognit learn address onlin survey conduct investig expect percept mobil learn amongst univers student professor jordan number countri middl east various factor may contribut establish mobil learn educ institut investig expect concern impact mobil technolog teach learn explor result reflect fundament need effect implement mobil learn view cognit scienc instead technolog evolut
310,mobile virtual laboratory developed help students perform virtual experiments using mobile devices make possible teaching conducted anytime anywherein addition resources equipment integrated shared efficiently environment created promote learning interests efficiency using mobile devices via internet gprs telecommunication networks java wireless communication technologies used design implements multitier architecture order integrate different fields technology ultimate objective improve scalability system allow use scalable vector graphics makes possible developers create interactive graphical content ability zoom resize displays different resolutions aspect ratios,mobil virtual laboratori develop help student perform virtual experi use mobil devic make possibl teach conduct anytim anywherein addit resourc equip integr share effici environ creat promot learn interest effici use mobil devic via internet gprs telecommun network java wireless communic technolog use design implement multiti architectur order integr differ field technolog ultim object improv scalabl system allow use scalabl vector graphic make possibl develop creat interact graphic content abil zoom resiz display differ resolut aspect ratio
315,last years way learn shifted dramatically traditional classrooms depending printed papers elearning depending digital pages mobile learning mlearning recent technology developed rapidly deliver elearning using personal mobile devices without posing restrictions time location work investigate students faculty members attitudes towards use mlearning higher educational institutions within two countries gulf region oman uae two questionnaire surveys conducted one students another faculty members surveys 383 students 54 instructors taken part within study independent sample ttest performed examine whether exist significant difference among students attitudes faculty members attitudes towards use mlearning regard gender country results indicated students uae positive towards use mlearning oman moreover results revealed 99 students mobile devices particular smartphones tablets 1 results study could help policy makers better decision making building mlearning infrastructure higher educational institutions general specifically within arab gulf region,last year way learn shift dramat tradit classroom depend print paper elearn depend digit page mobil learn mlearn recent technolog develop rapid deliv elearn use person mobil devic without pose restrict time locat work investig student faculti member attitud toward use mlearn higher educ institut within two countri gulf region oman uae two questionnair survey conduct one student anoth faculti member survey 383 student 54 instructor taken part within studi independ sampl ttest perform examin whether exist signific differ among student attitud faculti member attitud toward use mlearn regard gender countri result indic student uae posit toward use mlearn oman moreov result reveal 99 student mobil devic particular smartphon tablet 1 result studi could help polici maker better decis make build mlearn infrastructur higher educ institut general specif within arab gulf region
318,meaningful use mobile devices higher education learning contexts still underrepresented german universities even “new” technologies open totally new teaching learning experiences current use strongly dominated simple technology provision special coursedesigned engineering studentsthe authors want change go direction meaningful interaction collaboration help mobile devices throughout learning process course developed give students opportunity use tablet pcs context studies simultaneously improve ability field scientific working processes making use online tool evernote supported aim tool allows users work share digital notebooks organize well document working process case used support scientific research process beginning end evernote used mobile app easily used tablet pcs hence supports course idea using mobile devices perfect way course divided four facetoface meetings three working phases taking part course students go research project explicit stepsfrom new idea research results presentation meetings mainly used order introduce tools techniques research processes working phases students research create presentations poster scientific report based internal course evaluation students feedback observed combination tablet pcs evernote software good opportunity show mobile devices meaningfully integrated higher engineering education,meaning use mobil devic higher educ learn context still underrepres german univers even “new” technolog open total new teach learn experi current use strong domin simpl technolog provis special coursedesign engin studentsth author want chang go direct meaning interact collabor help mobil devic throughout learn process cours develop give student opportun use tablet pcs context studi simultan improv abil field scientif work process make use onlin tool evernot support aim tool allow user work share digit notebook organ well document work process case use support scientif research process begin end evernot use mobil app easili use tablet pcs henc support cours idea use mobil devic perfect way cours divid four facetofac meet three work phase take part cours student go research project explicit stepsfrom new idea research result present meet main use order introduc tool techniqu research process work phase student research creat present poster scientif report base intern cours evalu student feedback observ combin tablet pcs evernot softwar good opportun show mobil devic meaning integr higher engin educ
327,innovation learning technologies services driven demands higher educational institutions heis order meet students needs make knowledge delivery easier technology could play pivotal role extending possibilities teaching learning research educational institutions mlearning emerged innovation result unprecedented explosion number mobile devices due availability affordability mobile phones smartphones tablets among students competition mobile device industry also encouraging developers innovative constantly striving introduce new features consequently newer sources risks introduced mobile computing paradigm manufacturing level similarly many mlearning promoters developers focus developing delivering learning content infrastructure mlearning system without adequate consideration security stakeholders data whereas use mobile technologies learning poses serious threat confidentiality integrity privacy involved teaching learning yet traditional security threats also evolving backdrop stakeholders education sector ie education providers educators mlearning promoters developers begin consider security implications devices modern teaching learning environments purpose paper identify mlearning security issues stakeholders may face affected security threats among stakeholders affected affected security issues mlearning using three nigeria universities case studies responsibilities stakeholders ensuring risk free mlearning,innov learn technolog servic driven demand higher educ institut hei order meet student need make knowledg deliveri easier technolog could play pivot role extend possibl teach learn research educ institut mlearn emerg innov result unpreced explos number mobil devic due avail afford mobil phone smartphon tablet among student competit mobil devic industri also encourag develop innov constant strive introduc new featur consequ newer sourc risk introduc mobil comput paradigm manufactur level similar mani mlearn promot develop focus develop deliv learn content infrastructur mlearn system without adequ consider secur stakehold data wherea use mobil technolog learn pose serious threat confidenti integr privaci involv teach learn yet tradit secur threat also evolv backdrop stakehold educ sector ie educ provid educ mlearn promot develop begin consid secur implic devic modern teach learn environ purpos paper identifi mlearn secur issu stakehold may face affect secur threat among stakehold affect affect secur issu mlearn use three nigeria univers case studi respons stakehold ensur risk free mlearn
332,given global spread mobile platforms ios android relevant consider potential devices teaching learning exploratory research designed evaluate possibility using common ebook formats create gamebooks gamified books effective teaching learning analyzing features available many free open tools decided use ibooks author build model dynamic book may function educational game environmental studies aimed children 4th grade mostly 910 years old portuguese schools paper presents design features interactive book titled adventures guadiana river developed using apple ibook format especially set ipad retina proprietary format also built prototype following epub3 standard developed new ways interact content within universal format preliminary tests prototypes revealed good usability promising pedagogical potential proposed models,given global spread mobil platform io android relev consid potenti devic teach learn exploratori research design evalu possibl use common ebook format creat gamebook gamifi book effect teach learn analyz featur avail mani free open tool decid use ibook author build model dynam book may function educ game environment studi aim children 4th grade most 910 year old portugues school paper present design featur interact book titl adventur guadiana river develop use appl ibook format especi set ipad retina proprietari format also built prototyp follow epub3 standard develop new way interact content within univers format preliminari test prototyp reveal good usabl promis pedagog potenti propos model
344,introductionmobile learning refers use mobile handheld devices personal digital assistants pdas mobile telephones laptops tablet pc technologies teaching learning new form learning using mobile network tools expanding digital learning channel gaining educational information educational resources educational services anytime anywhere learning language requires explicit learning vocabulary language rules supported mobile learning initial survey project showed foreigners consider tigrigna language barrier involved different local activities tigray tigrigna speakers one developed tigrigna language tool objective develop mobile based tigrigna language learning toolmethods project develops mobile based tigrigna language learning tool support tigrigna language speaking listening writing foreigners tigrignas environment main emphasis teach beginners basic alphabets words common conversation might come across achieve goal main effort project based three aspects designing delivering tigrigna alphabets words conversation lessons integrating audio picture words alphabets common conversations giving exercises lessons allowing user keep track hisher profile tool contains three modules like tutorial management module exercise module user profile module modules contained different components functionalities also includes scenariobased fulfilling activities associated learners encourages users speak listen write tigrigna mission tasks project tool may increase learners motivation continue tigrigna learning besides mobile devices provide opportunity learn tigrigna outside classroom interact directly genuine living environmentresultsthis project viewed institution tigrigina language litrature addiss ababa university interested tool deployed actual device works exactly expected different beginner tigrigna learners using toolconclusioni believe tigirigina mobile learning personalization learning environment learning experience outside classroom learning recording organizing time taking advantage benefits information motivated forced use pc objects access materials knowledge,introductionmobil learn refer use mobil handheld devic person digit assist pdas mobil telephon laptop tablet pc technolog teach learn new form learn use mobil network tool expand digit learn channel gain educ inform educ resourc educ servic anytim anywher learn languag requir explicit learn vocabulari languag rule support mobil learn initi survey project show foreign consid tigrigna languag barrier involv differ local activ tigray tigrigna speaker one develop tigrigna languag tool object develop mobil base tigrigna languag learn toolmethod project develop mobil base tigrigna languag learn tool support tigrigna languag speak listen write foreign tigrigna environ main emphasi teach beginn basic alphabet word common convers might come across achiev goal main effort project base three aspect design deliv tigrigna alphabet word convers lesson integr audio pictur word alphabet common convers give exercis lesson allow user keep track hisher profil tool contain three modul like tutori manag modul exercis modul user profil modul modul contain differ compon function also includ scenariobas fulfil activ associ learner encourag user speak listen write tigrigna mission task project tool may increas learner motiv continu tigrigna learn besid mobil devic provid opportun learn tigrigna outsid classroom interact direct genuin live environmentresultsthi project view institut tigrigina languag litratur addiss ababa univers interest tool deploy actual devic work exact expect differ beginn tigrigna learner use toolconclusioni believ tigirigina mobil learn person learn environ learn experi outsid classroom learn record organ time take advantag benefit inform motiv forc use pc object access materi knowledg
352,english important second language nonenglish speaking countries including malaysia good english proficiency comes good grasp grammar conquer problems low english proficiency among malaysians important identify key motivators could facilitate process grammar learning digital age technology play important role mobile technology could one thus study aims designing mobile learning tool namely intelligent mobile learning tool grammar learning imol act “onthego” grammar learning support via mobile phones imol helps reinforce grammar learning mobile phone gamelike applications inquirybased activities flashcardlike information intelligent part imol lies ability map mobilebased grammar learning content individuals preferred learning styles based feldersilverman learning style model fslsm instructional system design addie model used study systematic approach designing novel comprehensive mobile learning tool grammar learning terms implications study provides insights mobile technologies utilized meet mobility demand among language learners today,english import second languag nonenglish speak countri includ malaysia good english profici come good grasp grammar conquer problem low english profici among malaysian import identifi key motiv could facilit process grammar learn digit age technolog play import role mobil technolog could one thus studi aim design mobil learn tool name intellig mobil learn tool grammar learn imol act “onthego” grammar learn support via mobil phone imol help reinforc grammar learn mobil phone gamelik applic inquirybas activ flashcardlik inform intellig part imol lie abil map mobilebas grammar learn content individu prefer learn style base feldersilverman learn style model fslsm instruct system design addi model use studi systemat approach design novel comprehens mobil learn tool grammar learn term implic studi provid insight mobil technolog util meet mobil demand among languag learner today
