,article_title,abstract
223,Usability Study of Personalized Learning in Mobile Learning Environment,"In an effort to find out the best suitable application of mobile learning, several research works are undertaken till date. A review of related papers unveiled that mobile devices act better as a supporting media in teaching and learning scenario. The present worker has developed context specific learning modules i.e. personalized learning contents using an ontology based web service architecture and an experimantal exploration has been done with the target audience to justify the usability of such content in a real time environment. To ensure that the developed contents are acceptable and usable, usability aspects are carefully embedded during the analysis, design and development of the contents. In this paper, the steps to fulfill the usability aspects of the prepared contents are described, an architecture of the dissemination system has been designed and results of the study are presented."
226,Simplistic is the Ingredient for Mobile Learning,"This study explored the studentsâ?? acceptance of Mobile Learning via Short Message Service (SMS-Learning) amongst distance learners in the Universiti Sains Malaysia. This study aims to examine the studentâ??s acceptance towards the language use in SMS-Learning content, the cost of communicating and also the navigation of the system. The study employed the qualitative methodology where data were collected through questionnaire that was administered to 105 distance education students from Bachelor of Management, Bachelor of Science, Bachelor of Social Science and Bachelor of Art. The survey responses were tabulated in a 5-point Likert scale and analyzed using the Rasch Measurement Model.  The results indicated that the simple language used in SMS-Learning was accepted by the respondents. By using the language precisely, it leads to high usability of SMS-Learning which will allow it to academically assist them in their study."
229,Mobile School Service,"What is in common for the majority of young people? Mobile phone.In epoch of rapid development of information technologies the time came in which only few people do not have mobiles, especially among young people in high schools. Researches which we made in our school say that this percentage (rate) is really high 99,23% at this moment. The educational institutions should use this opportunity. In aim to improve the success of students the mobile service is developed, which will be described in this work. This is first result which provides a cognitive tool which is supporting the independent learning by applying mobile phones with wireless communication technology to extend learning outside of the classroom in Serbia.The service was developed during times when we didnâ??t know anything about how much and in which way m-learning was being used in the world."
230,Adoption of Mobile Learning Among Distance Education Students in Universiti Sains Malaysia,"This study was carried out in order to investigate whether mobile learning using Short Message Service (SMS) was a method of learning adopted by the students enrolled in the School of Distance Education, Universiti Sains Malaysia. As adult learners who are in vocation, time and isolation are the bane of self-study. Since all the students own a mobile device that can receive SMS, educational messages can be sent directly to their devices. This experimental study explored the impact of learnerâ??s characteristic, learning design and learning environment to their adoptability.  This study utilised two models of data analysis, the Statistical Package for Social Science (SPSS) Version 12.0 and the Rasch model analysis for measurement. The analysis was conducted on a sample of 105 students based on gender, age, ethnicity, programme of study and mobile device ownership. The students were from four different courses which are Bachelors of Science, Bachelor of Arts, Bachelor of Social Science and Bachelor of Management. The questionnaire-answer session were administered by the respective course managers in their tutorial sessions during the annual residential intensive course in the main campus of the Universiti Sains Malaysia. The result indicated that mobile learning has helped them to pace their studies. By using mobile learning, learners easily get any information that they need at anytime anywhere. Learners would also like to take another mobile learning assisted course if the courses are relevant to their learning needs. Furthermore, the SMS educational content received through their hand phone are easily remembered."
254,Quality Computer Assisted Mobile Learning (CAML) and Distance Education Leadership in Managing Technology Enhanced Learning Management System (TELMS) in the Malaysian Public Tertiary Education,"Abstract - The success in the implementation of a quality computer assisted mobile learning and distance education in a Technology Enhanced Learning Management System is highly rely on the academic leadership in managing and application of Information and Communication Technology (ICT) in the tertiary level. The effectiveness of its leadership, knowledge, application and management of ICT and learning management system is of utmost important. Successful application and management includes quality and cost effectiveness of universities administration, CAML and distance education leadership development, organizational culture, academic staffs and studentsâ?? attitude and their commitment towards teaching and learning process, support towards the usage of state of the art techno-educational facilities, availability of ICT resources, maintenance and funding of a Learning Management System. This paper will discuss the above factors, which present a comprehensive framework for the implementation of a quality CAML and distance education environment in ICT application and management in the Malaysian public universities. Selected Fifty-two respondents from two Malaysian public universities which offer e Learning and distance education with Learning Management System were acquired. A survey questionnaire is used to determine the effectiveness of ICT and mobile learning application management. Data from the questionnaires were analyzed by using non-parametric and parametric statistics testing. Results of this study show there is significant different in the CAML and distance education leadership in TELMS and the application of ICT and its management in the Malaysian public universities. The study will also address the implementation elements necessary for transforming the public universities and its CAML and distance education teaching and learning process into an effective and result oriented computer assisted mobile learning management model in public universities."
258,A Mobile Learning Model for Universities -Re-blending the Current Learning Environment,"The use of mobile technologies in education impacts learner motivation, collaboration, information sharing, mobility and interactivity which provide opportunities for learners, teachers and the university. This paper investigates the use of mobile learning technologies in higher education, and proposes a blended mobile learning model, which has the ability to serve the emerging learning process and delivery, and provide a well balanced learning environment that meets the current learnersâ?? needs."
274,The MOBO City: A Mobile Game Package for Technical Language Learning,"In this research we produced a mobile language learning game that is designed within a technical context.  After conceptual analysis of the subject matter i.e. computerâ??s motherboard, the game was designed. The action within the game is consistent to the theme.  There is a story, simplifying and exaggerating real life.  Elements of control, feedback and sense of danger are incorporated into our game. By producing an engaging learning experience, vocabularies were learned incidentally. Deliberate vocabulary learning games were also added to our package to help students solve their common errors."
208,On the Development of a Web-Based M-Learning System for Dual Screen Handheld Game Consoles,"This paper presents our experience on the design and development of an M-Learning web-based system for the Nintendo DSi game console. The paper starts by addressing the difficulties that emerged from the lack of resources on design guidelines for dual screen devices also the absence of adequate techniques and methods to support the design decisions. Then it explains how we overcame these challenges by adopting a design decision suitable for the screen requirements of the Nintendo DSi console. Finally, we present the components of our M-Learning system and the results of a preliminary usability evaluation."
277,Development of SMS Mobile Technology for M-Learning for Distance Learners,The evolution of technologies as well as Internet application has created new ways of communication which gives impact to all regions and sectors including educators and learners in Higher-Education Learning institutions in Malaysia. Virtual learning environments as well as e-learning applications are some of pedagogical mechanisms which may sound easy and quick to be applied but unfortunately they are rarely used. This research attempts to introduce m-Learning as â??Convenience Education
306,Trends and Challenges for Mobile,"The present state of mobile learning in Jordan is investigated in order to provide a meaningful direction for the future development of university eEducation in Jordan.  The strengths of mobile learning are elaborated and its current status including challenging issues from the perspective of cognitive learning is addressed. An online survey was conducted to investigate the expectations and perceptions of mobile learning amongst university students and professors in Jordan and a number of countries in the Middle East. Various factors that may contribute to the establishment of mobile learning in educational institutions were investigated and expectations concerning the impact of mobile technologies on teaching and learning were explored. The results reflect on the fundamental needs for effective implementation of mobile learning from the view of cognitive science, instead of technological evolution."
310,J2ME-Based Mobile Virtual Laboratory for Engineering Education,"A mobile virtual laboratory is developed to help students perform virtual experiments using mobile devices to make it possible for teaching to be conducted anytime anywhere.In addition, resources and equipment can be integrated and shared efficiently where an environment is created to promote learning interests and efficiency by using mobile devices via the Internet and the GPRS telecommunication networks. Java wireless communication technologies were used in the design which implements a multi-tier architecture in order to integrate different fields of technology. The ultimate objective is to improve the scalability of the system and to allow for the use of Scalable Vector Graphics which makes it possible for developers to create interactive graphical content, with the ability to zoom and resize on displays with different resolutions and aspect ratios."
315,Attitudes Towards the Use of Mobile Learning: A Case Study from the Gulf Region,"In the last few years, the way we learn has been shifted dramatically from traditional classrooms depending on printed papers into E-learning depending on digital pages. Mobile learning (M-learning) is a recent technology that has been developed rapidly to deliver E-learning using personal mobile devices without posing any restrictions on time and location. In this work, we investigate students and faculty members attitudes towards the use of M-learning in higher educational institutions within two countries in the Gulf Region (Oman & UAE). Two questionnaire surveys have been conducted: one for students and another for faculty members. In these surveys, 383 students and 54 instructors have taken part within the study. An independent sample t-test was performed to examine whether there exist a significant difference among the students attitudes and the faculty members attitudes towards the use of M-learning with regard to gender and country. Results indicated that students in the UAE were more positive towards the use of M-learning than those in Oman. Moreover, results revealed that 99% of the students own mobile devices, in particular smartphones and tablets, while only 1% has not. Results of this study could help policy makers for better decision making in building the M-learning infrastructure in the higher educational institutions in general and specifically within the Arab Gulf region."
318,"Organizing, performing and presenting scientific work in engineering education with the help of mobile devices","The meaningful use of mobile devices in higher education learning contexts is still underrepresented at German universities. Even if these “new” technologies open up totally new teaching and learning experiences the current use is strongly dominated by simple technology provision. With a special coursedesigned for engineering studentsthe authors want to change this and go more into the direction of meaningful interaction and collaboration with the help of mobile devices throughout the learning process. The course is developed to give the students the opportunity to use tablet PCs in context of their studies and simultaneously to improve their ability in the field of scientific working processes. Making use of the online tool Evernote supported this aim. This tool allows users to work out and share digital notebooks and with this to organize as well as document a working process. In this case it was used to support a scientific research process from the beginning to the end. As Evernote can be used with an mobile app it easily can be used on tablet PCs. Hence, it supports the course idea of using mobile devices in perfect way. The course itself is divided into four face-to-face meetings and three working phases. By taking part in the course the students go through their own research project with explicit stepsfrom having a new idea for research to the results presentation. The meetings are mainly used in order to introduce tools or techniques for research processes. During the working phases the students do their research, create presentations, a poster, and a scientific report. Based on the internal course evaluation and the students feedback we observed, that the combination of tablet PCs with the Evernote software is a good opportunity to show how mobile devices can be meaningfully integrated into higher engineering education."
327,Security of m-learning system: A collective responsibility,"Innovation in learning technologies and services is driven by demands from Higher Educational Institutions (HEIs) in order to meet their students needs and make knowledge delivery easier. The technology could play a pivotal role in extending the possibilities for teaching, learning, and research in educational institutions. M-learning emerged from this innovation as a result of an unprecedented explosion in the number of mobile devices due to availability and affordability of mobile phones, smartphones and tablets among students. Competition in the mobile device industry is also encouraging developers to be innovative, constantly striving to introduce new features. Consequently, newer sources of risks are being introduced in the mobile computing paradigm at manufacturing level. Similarly, many m-learning promoters and developers focus on developing and delivering learning content and infrastructure for m-learning system without adequate consideration for security of stakeholders data, whereas the use of these mobile technologies for learning poses a serious threat to confidentiality, integrity and privacy of those involved in teaching and learning, yet traditional security threats are also evolving. Against this backdrop, the stakeholders in education sector (i.e. education providers, educators, m-learning promoters and developers) should begin to consider the security implications of these devices in modern teaching and learning environments. The purpose of this paper is to identify the m-learning security issues that stakeholders may face, how they are being affected by the security threats,  who among is stakeholders are affected or most affected by security issues in m-learning using three Nigeria universities as case studies and what are the responsibilities of the stakeholders in ensuring risk free m-learning."
332,Interactive Design and Gamification of eBooks for Mobile and Contextual Learning,"Given the global spread of mobile platforms, such as iOS and Android, it is relevant to consider the potential of these devices in teaching and learning. Our exploratory research was designed to evaluate the possibility of using common ebook formats to create gamebooks (gamified books) that are effective in teaching and learning. After analyzing the features available in many free or open tools, we decided to use iBooks Author to build a model of a dynamic book that may function as an educational game for ""Environmental Studies"", aimed at children in the 4th grade, mostly 9-10 years old, in Portuguese schools. This paper presents the design and features of this interactive book titled ""Adventures in the Guadiana River"", developed using the Apple iBook format, and especially set for the iPad retina. Because this is a proprietary format we also built a prototype following the EPUB3 standard and developed new ways to interact with content within this universal format. Preliminary tests with our prototypes revealed very good usability and promising pedagogical potential in the proposed models."
344,A Mobile Based Tigrigna Language Learning Tool,"Introduction:Mobile learning refers to the use of mobile and handheld IT devices such as Personal Digital Assistants (PDAs), mobile telephones, laptops and tablet PC technologies, in teaching and learning. It is a new form of learning, using mobile network and tools, expanding digital learning channel, gaining educational information, educational resources and educational services anytime, anywhere.  Learning a language requires explicit learning of vocabulary and language rules. This can be supported by mobile learning. An initial survey of this project showed me most foreigners consider Tigrigna language as a barrier to be involved in different local activities of Tigray Tigrigna speakers and no one is developed Tigrigna language tool before. Objective: To develop Mobile based Tigrigna Language Learning Tool.Methods: This project develops a Mobile based Tigrigna Language Learning Tool to support Tigrigna Language speaking, listening and writing for foreigners in a Tigrignas environment. The main emphasis is to teach beginners, the basic alphabets, words and common conversation they might come across. To achieve this goal, the main effort of this project is based on three aspects: designing and delivering Tigrigna alphabets, words and conversation lessons, by integrating audio and picture for the words, alphabets and common conversations. By giving exercises for each the lessons and allowing the user to keep track of his/her profile. The Tool contains three modules like Tutorial management module, Exercise Module and User Profile Module each of the modules are contained different components and functionalities it also includes a scenario-based fulfilling activities associated of learners and it encourages users to speak, listen and write in Tigrigna through the mission tasks of the project .This Tool may increase learners motivation to continue their Tigrigna learning. Besides, mobile devices provide the opportunity to learn Tigrigna outside the classroom and to interact directly with a genuine living environment.Results:This project is viewed by the institution of Tigrigina language and litrature Addiss Ababa University and they are interested on the tool. I deployed on the actual device it works exactly as expected and different beginner Tigrigna learners are using the tool.Conclusion:-I believe that Tigirigina mobile learning are personalization of learning environment, learning Experience outside the classroom, learning by recording, organizing over time, taking advantage of the benefits of an information, be more motivated, no more forced to use PC as the only Objects to have access to materials and knowledge."
352,Designing an Intelligent Mobile Learning Tool for Grammar Learning  (i-MoL),"English is the most important second language in most non-English speaking countries, including Malaysia. A good English proficiency comes from good grasp of grammar. To conquer the problems of low English proficiency among Malaysians, it is important to identify the key motivators that could facilitate the process of grammar learning.  In this digital age, technology can play a very important role and mobile technology could be one of it. Thus, this study aims at designing a mobile learning tool, namely the Intelligent Mobile Learning Tool for Grammar Learning (i-MoL) to act as the “on-the-go” grammar learning support via mobile phones. i-MoL helps reinforce grammar learning through mobile phone with game-like applications, inquiry-based activities and flashcard-like information. The intelligent part of i-MoL lies in its ability to map the mobile-based grammar learning content to individuals preferred learning styles based on Felder-Silverman Learning Style Model (FSLSM). The instructional system design through the ADDIE model was used in this study as a systematic approach in designing a novel and comprehensive mobile learning tool for grammar learning. In terms of implications, this study provides insights on how mobile technologies can be utilized to meet the mobility demand among language learners today."
361,Investigating Students' Perceptions on Mobile Learning Services,"M-learning is a form of learning, which has similarities and differences with the electronic learning (e-learning). It is mainly based on the use of the mobile wireless technologies that allow for learners to easily access learning materials anytime he desires and anywhere, whether on campus or off campus. Therefore, this creates a new flexible learning environment in the context of different learning settings. Students' perception of such technology is one of the most important factors for successful adoption of m-learning in the higher education environment. This study is conducted to investigate the perceptions of students in University Malaysia Terengganu (UMT) to move towards applying m-learning in their studies by using their mobile devices and to explore their expectations on mobile learning services. A total number of 91 undergraduate students majoring in computer science participated in the study. The findings show that the students have positive perception towards mobile learning and would like to use their mobile devices for both learning and administrative services."
371,Exploring the Potential of Mobile Learning Use Among Faculty Members,"The purpose of this study was to investigate faculty members' attitudes toward mobile learning in King Saud University. The sample of the study consisted of 362 faculty members from King Saud University in Saudi Arabia during the academic year 2012-2013. A questionnaire consisted of 37 items was developed to measure the attitudes. The results showed that the attitudes of faculty members towards mobile learning are positive and there are statistically significant differences attributed to gender in favor of (female faculty members), academic rank in favor of (instructor), and academic experience in favor of (21 years of experience and more)."
426,Mobile Collaborative Informal Learning Design: Study of collaborative effectiveness using Activity Theory,"Smart Mobile Devices (SMD) are there for many years but using them as learning tools started to emerge as new research area. The trend to merge collaborative learning methodology by using mobile devices in informal context is important for implementation of Learner Centric Learning (LCL). Survey and numerous studies show that more than 95% of students in colleges are users of these smart mobile devices in developed world. Developing counties are also catching up and we can see this percentage is almost same in university level in these countries. Students are using SMDs for learning in some form. Higher education Institutions also try to embark their E-learning to Mobile learning (ML). The aim of this paper is to do propose operational framework for designing Mobile Collaborative Informal learning activities using SMDs. Show results of experimental and case study done to study the Mobile Collaborative Informal learning using Activity Theory (AT). Core Components of framework are Mobile Learning Activities/Objects, Wireless/Mobile Smart devices, Collaborative knowledge and Collaborative learning. The research mention here is its infancy stage."
445,Developing Mobile Collaborative Learning Applications for Mobile Users,"With the rapid growth wireless communication technologies, the number of mobile applications have been developing. One of them is approached for mobile learning area since it is unique in its own way and offers learning opportunities anywhere and anytime. Mobile collaborative learning (MCL) is a small group learning application based on mobile devices. MCL is a new exciting research area in which students can earn knowledge about a topic and concept via communicating with others by a mobile device. This paper introduces describes the theoretical and technical foundations for designing and developing an effective MCL environment. Also, the paper describes a new approach for building the MCL application towards mobile technology. The prototype will be constructed using Android operating system with suggesting necessary infrastructure and middleware. Finally, the paper include the result of a usability test to find valuable hidden facilitating issues to efficiently access and obtain the class contents in collaborative learning environment."
481,Auto Mechanic Students Perceptions and Readiness toward Mobile Learning in Thailand,"Access to quality education is now a huge challenge in Thailand with ever-increasing inequality between rural and urban populations. Existing teaching and learning facilities are no longer adequate. Mobile learning has been suggested as a sustainable and appropriate delivery mechanism to reduce this rural/urban education gap. Students are supplied with their own mobile device at no cost to learners or their families. Opportunities offered through mobile learning to auto mechanic education in Thailand were explored. Data from 384 auto mechanic students were collected and descriptive and multiple regression analyses were performed based on the unified theory of acceptance and use of technology 2 (UTAUT2) model. Results showed that performance expectancy, effort expectancy, social influence, facilitating conditions, hedonic motivation and personal innovativeness were positively related to behavioral intention to use mobile learning. Furthermore, effort expectancy, hedonic motivation and personal innovativeness were the most significant predictors of behavioral intention to use mobile learning. Auto mechanic students in Thailand had positive perceptions toward mobile learning and the effect of students effort expectancy provided a better explanation for the adoption of mobile learning in auto mechanic education."
501,Design Guidelines for Creating Mobile Language Learning Applications,"Mobile devices have proven to be an appropriate tool which expands the horizons of learning beyond the classroom through means of flexibility and portability. Throughout this study, the authors have worked with a set of design guidelines which were derived from the literature. The artifact developed considering these design guidelines has been evaluated among various user groups for better understanding of m-learning as a tool to support English Language Learning. Findings of these evaluations have been used to improve the design guidelines.  The authors also identify the effectiveness of mobile learning as a supporting medium of learning and as a primary medium of learning among different learner groups, which is another outcome of this study. ,"
519,Predicting the Drivers of the Intention to Use Mobile Learning in South Korea,"This study empirically analyzed a survey conducted on South Korean undergraduate students to determine the factors that influence their decision to adopt mobile learning. The consumer typology approach was applied based on their mobile technology readiness, and identified three distinct consumer groups: critical adopters, pro-technology, and ambivalent. Critical adopters were the largest of the three groups, indicating that a significant portion of university students in South Korea might be critical adopters of mobile learning. Compatibility and observability positively influenced the intention to use mobile learning in all consumer groups. In the critical adopter and ambivalent groups, mobile learning resistance had the greatest effect on the intention to use mobile learning, while in the pro-technology group mobile learning self-efficacy had the greatest effect on this intention. Results identified significant differences across consumer groups in the antecedents and consequences of the intention to use mobile learning.,"
523,The Development of an Android-Based Anggah-Ungguhing Balinese Language Dictionary,"Indonesia is an archipelago country with a variety of local languages; one of which is Balinese (mother tongue), used by the Balinese people in daily life and in certain ritual ceremonies. In Universitas Pendidikan Ganesha, Department of Balinese Language Education, students have been given Anggah-Ungguhing in speaking subjects where they are taught to understand the use of Balinese language based on social strata.  But in the process of learning the Anggah-Ungguhing, there are some problems, including: 1) There is no media that supports learning of Anggah-Ungguhing vocabulary. 2) The motivation of students when learning Anggah-Ungguhing by using books is low. Based upon the analysis on the problems and previous researches, this study aims to: 1) Development of mobile dictionary to support the learning process Angggah - Ungguhing anywhere and anytime. 2) Measuring the level of students motivation are using mobile dictionary while learning vocabulary Anggah - Ungguhing. The method used in this research is Software Development Life Cycle (SDLC) with Waterfall based model. Based on the results of tests that have been done, mobile dictionaries can be declared successfully developed based on user needs. In this research has distributed about 60 questionnaires to measure the level of students motivation who use mobile dictionaries on learning Anggah - Ungguhing Balinese language. The result of the students motivation measurement shows that the motivation of the students that the learns Anggah - Ungguhing Balinese languange using mobile dictionary is in the positive category."
