,abstract,stemmed
223,in an effort to find out the best suitable application of mobile learning several research works are undertaken till date a review of related papers unveiled that mobile devices act better as a supporting media in teaching and learning scenario the present worker has developed context specific learning modules ie personalized learning contents using an ontology based web service architecture and an experimantal exploration has been done with the target audience to justify the usability of such content in a real time environment to ensure that the developed contents are acceptable and usable usability aspects are carefully embedded during the analysis design and development of the contents in this paper the steps to fulfill the usability aspects of the prepared contents are described an architecture of the dissemination system has been designed and results of the study are presented,in an effort to find out the best suitabl applic of mobil learn sever research work are undertaken till date a review of relat paper unveil that mobil devic act better as a support media in teach and learn scenario the present worker has develop context specif learn modul ie person learn content use an ontolog base web servic architectur and an experimant explor has been done with the target audienc to justifi the usabl of such content in a real time environ to ensur that the develop content are accept and usabl usabl aspect are care embed dure the analysi design and develop of the content in this paper the step to fulfil the usabl aspect of the prepar content are describ an architectur of the dissemin system has been design and result of the studi are present
226,this study explored the studentsâ acceptance of mobile learning via short message service smslearning amongst distance learners in the universiti sains malaysia this study aims to examine the studentâs acceptance towards the language use in smslearning content the cost of communicating and also the navigation of the system the study employed the qualitative methodology where data were collected through questionnaire that was administered to 105 distance education students from bachelor of management bachelor of science bachelor of social science and bachelor of art the survey responses were tabulated in a 5point likert scale and analyzed using the rasch measurement model  the results indicated that the simple language used in smslearning was accepted by the respondents by using the language precisely it leads to high usability of smslearning which will allow it to academically assist them in their study,this studi explor the studentsâ accept of mobil learn via short messag servic smslearn amongst distanc learner in the univers sain malaysia this studi aim to examin the studentâ accept toward the languag use in smslearn content the cost of communic and also the navig of the system the studi employ the qualit methodolog where data were collect through questionnair that was administ to 105 distanc educ student from bachelor of manag bachelor of scienc bachelor of social scienc and bachelor of art the survey respons were tabul in a 5point likert scale and analyz use the rasch measur model  the result indic that the simpl languag use in smslearn was accept by the respond by use the languag precis it lead to high usabl of smslearn which will allow it to academ assist them in their studi
229,what is in common for the majority of young people mobile phonein epoch of rapid development of information technologies the time came in which only few people do not have mobiles especially among young people in high schools researches which we made in our school say that this percentage rate is really high 9923 at this moment the educational institutions should use this opportunity in aim to improve the success of students the mobile service is developed which will be described in this work this is first result which provides a cognitive tool which is supporting the independent learning by applying mobile phones with wireless communication technology to extend learning outside of the classroom in serbiathe service was developed during times when we didnât know anything about how much and in which way mlearning was being used in the world,what is in common for the major of young peopl mobil phonein epoch of rapid develop of inform technolog the time came in which onli few peopl do not have mobil especi among young peopl in high school research which we made in our school say that this percentag rate is realli high 9923 at this moment the educ institut should use this opportun in aim to improv the success of student the mobil servic is develop which will be describ in this work this is first result which provid a cognit tool which is support the independ learn by appli mobil phone with wireless communic technolog to extend learn outsid of the classroom in serbiath servic was develop dure time when we didnât know anyth about how much and in which way mlearn was be use in the world
230,this study was carried out in order to investigate whether mobile learning using short message service sms was a method of learning adopted by the students enrolled in the school of distance education universiti sains malaysia as adult learners who are in vocation time and isolation are the bane of selfstudy since all the students own a mobile device that can receive sms educational messages can be sent directly to their devices this experimental study explored the impact of learnerâs characteristic learning design and learning environment to their adoptability  this study utilised two models of data analysis the statistical package for social science spss version 120 and the rasch model analysis for measurement the analysis was conducted on a sample of 105 students based on gender age ethnicity programme of study and mobile device ownership the students were from four different courses which are bachelors of science bachelor of arts bachelor of social science and bachelor of management the questionnaireanswer session were administered by the respective course managers in their tutorial sessions during the annual residential intensive course in the main campus of the universiti sains malaysia the result indicated that mobile learning has helped them to pace their studies by using mobile learning learners easily get any information that they need at anytime anywhere learners would also like to take another mobile learning assisted course if the courses are relevant to their learning needs furthermore the sms educational content received through their hand phone are easily remembered,this studi was carri out in order to investig whether mobil learn use short messag servic sms was a method of learn adopt by the student enrol in the school of distanc educ univers sain malaysia as adult learner who are in vocat time and isol are the bane of selfstudi sinc all the student own a mobil devic that can receiv sms educ messag can be sent direct to their devic this experiment studi explor the impact of learnerâ characterist learn design and learn environ to their adopt  this studi utilis two model of data analysi the statist packag for social scienc spss version 120 and the rasch model analysi for measur the analysi was conduct on a sampl of 105 student base on gender age ethnic programm of studi and mobil devic ownership the student were from four differ cours which are bachelor of scienc bachelor of art bachelor of social scienc and bachelor of manag the questionnaireansw session were administ by the respect cours manag in their tutori session dure the annual residenti intens cours in the main campus of the univers sain malaysia the result indic that mobil learn has help them to pace their studi by use mobil learn learner easili get ani inform that they need at anytim anywher learner would also like to take anoth mobil learn assist cours if the cours are relev to their learn need furthermor the sms educ content receiv through their hand phone are easili rememb
254,abstract  the success in the implementation of a quality computer assisted mobile learning and distance education in a technology enhanced learning management system is highly rely on the academic leadership in managing and application of information and communication technology ict in the tertiary level the effectiveness of its leadership knowledge application and management of ict and learning management system is of utmost important successful application and management includes quality and cost effectiveness of universities administration caml and distance education leadership development organizational culture academic staffs and studentsâ attitude and their commitment towards teaching and learning process support towards the usage of state of the art technoeducational facilities availability of ict resources maintenance and funding of a learning management system this paper will discuss the above factors which present a comprehensive framework for the implementation of a quality caml and distance education environment in ict application and management in the malaysian public universities selected fiftytwo respondents from two malaysian public universities which offer e learning and distance education with learning management system were acquired a survey questionnaire is used to determine the effectiveness of ict and mobile learning application management data from the questionnaires were analyzed by using nonparametric and parametric statistics testing results of this study show there is significant different in the caml and distance education leadership in telms and the application of ict and its management in the malaysian public universities the study will also address the implementation elements necessary for transforming the public universities and its caml and distance education teaching and learning process into an effective and result oriented computer assisted mobile learning management model in public universities,abstract  the success in the implement of a qualiti comput assist mobil learn and distanc educ in a technolog enhanc learn manag system is high reli on the academ leadership in manag and applic of inform and communic technolog ict in the tertiari level the effect of it leadership knowledg applic and manag of ict and learn manag system is of utmost import success applic and manag includ qualiti and cost effect of univers administr caml and distanc educ leadership develop organiz cultur academ staff and studentsâ attitud and their commit toward teach and learn process support toward the usag of state of the art technoeduc facil avail of ict resourc mainten and fund of a learn manag system this paper will discuss the abov factor which present a comprehens framework for the implement of a qualiti caml and distanc educ environ in ict applic and manag in the malaysian public univers select fiftytwo respond from two malaysian public univers which offer e learn and distanc educ with learn manag system were acquir a survey questionnair is use to determin the effect of ict and mobil learn applic manag data from the questionnair were analyz by use nonparametr and parametr statist test result of this studi show there is signific differ in the caml and distanc educ leadership in telm and the applic of ict and it manag in the malaysian public univers the studi will also address the implement element necessari for transform the public univers and it caml and distanc educ teach and learn process into an effect and result orient comput assist mobil learn manag model in public univers
258,the use of mobile technologies in education impacts learner motivation collaboration information sharing mobility and interactivity which provide opportunities for learners teachers and the university this paper investigates the use of mobile learning technologies in higher education and proposes a blended mobile learning model which has the ability to serve the emerging learning process and delivery and provide a well balanced learning environment that meets the current learnersâ needs,the use of mobil technolog in educ impact learner motiv collabor inform share mobil and interact which provid opportun for learner teacher and the univers this paper investig the use of mobil learn technolog in higher educ and propos a blend mobil learn model which has the abil to serv the emerg learn process and deliveri and provid a well balanc learn environ that meet the current learnersâ need
274,in this research we produced a mobile language learning game that is designed within a technical context  after conceptual analysis of the subject matter ie computerâs motherboard the game was designed the action within the game is consistent to the theme  there is a story simplifying and exaggerating real life  elements of control feedback and sense of danger are incorporated into our game by producing an engaging learning experience vocabularies were learned incidentally deliberate vocabulary learning games were also added to our package to help students solve their common errors,in this research we produc a mobil languag learn game that is design within a technic context  after conceptu analysi of the subject matter ie computerâ motherboard the game was design the action within the game is consist to the theme  there is a stori simplifi and exagger real life  element of control feedback and sens of danger are incorpor into our game by produc an engag learn experi vocabulari were learn incident deliber vocabulari learn game were also ad to our packag to help student solv their common error
208,this paper presents our experience on the design and development of an mlearning webbased system for the nintendo dsi game console the paper starts by addressing the difficulties that emerged from the lack of resources on design guidelines for dual screen devices also the absence of adequate techniques and methods to support the design decisions then it explains how we overcame these challenges by adopting a design decision suitable for the screen requirements of the nintendo dsi console finally we present the components of our mlearning system and the results of a preliminary usability evaluation,this paper present our experi on the design and develop of an mlearn webbas system for the nintendo dsi game consol the paper start by address the difficulti that emerg from the lack of resourc on design guidelin for dual screen devic also the absenc of adequ techniqu and method to support the design decis then it explain how we overcam these challeng by adopt a design decis suitabl for the screen requir of the nintendo dsi consol final we present the compon of our mlearn system and the result of a preliminari usabl evalu
277,the evolution of technologies as well as internet application has created new ways of communication which gives impact to all regions and sectors including educators and learners in highereducation learning institutions in malaysia virtual learning environments as well as elearning applications are some of pedagogical mechanisms which may sound easy and quick to be applied but unfortunately they are rarely used this research attempts to introduce mlearning as âconvenience education,the evolut of technolog as well as internet applic has creat new way of communic which give impact to all region and sector includ educ and learner in highereduc learn institut in malaysia virtual learn environ as well as elearn applic are some of pedagog mechan which may sound easi and quick to be appli but unfortun they are rare use this research attempt to introduc mlearn as âconveni educ
306,the present state of mobile learning in jordan is investigated in order to provide a meaningful direction for the future development of university eeducation in jordan  the strengths of mobile learning are elaborated and its current status including challenging issues from the perspective of cognitive learning is addressed an online survey was conducted to investigate the expectations and perceptions of mobile learning amongst university students and professors in jordan and a number of countries in the middle east various factors that may contribute to the establishment of mobile learning in educational institutions were investigated and expectations concerning the impact of mobile technologies on teaching and learning were explored the results reflect on the fundamental needs for effective implementation of mobile learning from the view of cognitive science instead of technological evolution,the present state of mobil learn in jordan is investig in order to provid a meaning direct for the futur develop of univers eeduc in jordan  the strength of mobil learn are elabor and it current status includ challeng issu from the perspect of cognit learn is address an onlin survey was conduct to investig the expect and percept of mobil learn amongst univers student and professor in jordan and a number of countri in the middl east various factor that may contribut to the establish of mobil learn in educ institut were investig and expect concern the impact of mobil technolog on teach and learn were explor the result reflect on the fundament need for effect implement of mobil learn from the view of cognit scienc instead of technolog evolut
310,a mobile virtual laboratory is developed to help students perform virtual experiments using mobile devices to make it possible for teaching to be conducted anytime anywherein addition resources and equipment can be integrated and shared efficiently where an environment is created to promote learning interests and efficiency by using mobile devices via the internet and the gprs telecommunication networks java wireless communication technologies were used in the design which implements a multitier architecture in order to integrate different fields of technology the ultimate objective is to improve the scalability of the system and to allow for the use of scalable vector graphics which makes it possible for developers to create interactive graphical content with the ability to zoom and resize on displays with different resolutions and aspect ratios,a mobil virtual laboratori is develop to help student perform virtual experi use mobil devic to make it possibl for teach to be conduct anytim anywherein addit resourc and equip can be integr and share effici where an environ is creat to promot learn interest and effici by use mobil devic via the internet and the gprs telecommun network java wireless communic technolog were use in the design which implement a multiti architectur in order to integr differ field of technolog the ultim object is to improv the scalabl of the system and to allow for the use of scalabl vector graphic which make it possibl for develop to creat interact graphic content with the abil to zoom and resiz on display with differ resolut and aspect ratio
315,in the last few years the way we learn has been shifted dramatically from traditional classrooms depending on printed papers into elearning depending on digital pages mobile learning mlearning is a recent technology that has been developed rapidly to deliver elearning using personal mobile devices without posing any restrictions on time and location in this work we investigate students and faculty members attitudes towards the use of mlearning in higher educational institutions within two countries in the gulf region oman  uae two questionnaire surveys have been conducted one for students and another for faculty members in these surveys 383 students and 54 instructors have taken part within the study an independent sample ttest was performed to examine whether there exist a significant difference among the students attitudes and the faculty members attitudes towards the use of mlearning with regard to gender and country results indicated that students in the uae were more positive towards the use of mlearning than those in oman moreover results revealed that 99 of the students own mobile devices in particular smartphones and tablets while only 1 has not results of this study could help policy makers for better decision making in building the mlearning infrastructure in the higher educational institutions in general and specifically within the arab gulf region,in the last few year the way we learn has been shift dramat from tradit classroom depend on print paper into elearn depend on digit page mobil learn mlearn is a recent technolog that has been develop rapid to deliv elearn use person mobil devic without pose ani restrict on time and locat in this work we investig student and faculti member attitud toward the use of mlearn in higher educ institut within two countri in the gulf region oman  uae two questionnair survey have been conduct one for student and anoth for faculti member in these survey 383 student and 54 instructor have taken part within the studi an independ sampl ttest was perform to examin whether there exist a signific differ among the student attitud and the faculti member attitud toward the use of mlearn with regard to gender and countri result indic that student in the uae were more posit toward the use of mlearn than those in oman moreov result reveal that 99 of the student own mobil devic in particular smartphon and tablet while onli 1 has not result of this studi could help polici maker for better decis make in build the mlearn infrastructur in the higher educ institut in general and specif within the arab gulf region
