,,0
118,4, technical employee
119,0,agency
119,1, science media communication
119,2, science communication
119,3, philosophy of science
119,4, emancipation
119,5, self-reflexivity
119,6, design development research
120,0,strength of acid and base
120,1, addie model
120,2, 5e
120,3, teaching and learning module
120,4, online
121,0,english vocabulary
121,1, mobile apps
121,2, mobile learning
121,3, keller personalized system of instruction
122,0,iot
122,1, facilities management
122,2, mobile application.
122,3,
123,0,augmented reality
123,1, didactic engineering
123,2, quadric surfaces
123,3, technology-enhanced learning
124,0,smartphone
124,1, adicction
124,2, engineering students
124,3, gender
124,4, mexico.
124,5,
125,0,contact tracing
125,1, uavs
125,2, covid-19
125,3, wireless monitoring system
125,4, wireless mesh networks
125,5, reinforcement learning
126,0,virtual reality
126,1, higher education
126,2, learning environment
126,3, student performance.
126,4,
127,0,creative thinking ability
127,1, learning community
127,2, geogebra.
127,3,
128,0,cloud
128,1, computational thinking
128,2, critical thinking
128,3, internet
128,4, thailand
129,0, teachers perspective
129,1, ict integration
129,2, new normal era
130,0,learning analytics
130,1, dropping out
130,2, educational data mining
130,3, eruptive technology
130,4, disruptive technology
131,0,iot
131,1, arduino
131,2, nodemcu
131,3, garden
131,4, raspberry pi
132,0,augmented reality
132,1, interactive models
132,2, special abilities
132,3, vocational education
132,4, digital 4.0
133,0,icn
133,1, ndn
133,2, caching strategy
133,3, in-network caching
133,4, cache management policies
134,0,consonant cluster
134,1, onset
134,2, traditional method
135,0,cloud computing technologies
135,1, digital trends
135,2, digitalization
135,3, regional development
135,4, socio-economic effects
136,0,cloud computing
136,1, quality of service
136,2, service level agreement
136,3, reinforcement learning
136,4, deep reinforcement learning
137,0,mobile phone
137,1, marital communication
137,2, interpersonal relationships
138,0,smart learning
138,1, attitude
138,2, perceptions
138,3, online learning
138,4, podcast
139,0,cloud based learning
139,1, reverse engineering
139,2, computational thinking
139,3, peer learning.
139,4,
140,0,lte-v
140,1, best-cqi
140,2, round robin
140,3, proportional fair
140,4, los
141,0,mobile web
141,1, character building
141,2, student character
142,0,gamification
142,1, motivation
142,2, engagement
142,3, orientation knowledge
142,4, affective outcomes
143,0,interactive mobile technology
143,1, interventions
143,2, mental and physical health
143,3, well-being
143,4, bibliometric analysis.
143,5,
144,0,bim
144,1, operation and maintenance
144,2, mobile application software
144,3, existing building
145,0,mobile commerce
145,1, utilization
145,2, factors influencing
145,3, utaut
145,4, rural entrepreneurs
146,0,website development
146,1, e-learning
146,2, laravel
146,3, sdlc
146,4, learning media
147,0,multiple input single output (miso)
147,1, stepped impedance resonator (sir)
147,2, long term evolution (lte)
147,3, return loss
147,4, specific anthropomorphic mannequin (sam) head
148,0,android
148,1, learning media
148,2, methods
148,3, student
148,4, network service technology
149,0,facebook
149,1, marketing
149,2, scopus
149,3, bibliometric analysis
150,0,game-based learning
150,1, computational thinking
150,2, design model
151,0,mobile interaction
151,1, interaction design
151,2, comparative analysis
151,3, mobile application
151,4, zakat
151,5, expert review
151,6, user experience
152,0,interactive storytelling
152,1, creative industry
152,2, bibliometric analysis
152,3, scopus
152,4, vosviewer
153,0,youtube educational channel
153,1, video-podcast
153,2, listening comprehension
153,3, elt
153,4, rural esl.
153,5,
154,0,high school
154,1, ict-based intervention
154,2, interactive teaching
154,3, physics
154,4, simulations
155,0,book reader
155,1, image-text conversion
155,2, text-to-speech
155,3, google cloud
155,4, artificial intelligence
155,5, visual impairment people
156,0,school principals
156,1, distance learning
156,2, technological tools
156,3, online learning
157,0,mobile technologies
157,1, hearing-impaired students
157,2, esl
157,3, views
157,4, challenges
158,0,digital comics
158,1, cognitive learning outcome
158,2, pandemic
159,0,digital story
159,1, linguistic intelligence
159,2, mindfulness
159,3, corona pandemic.
159,4,
160,0,3-d shapes
160,1, attitudes
160,2, geogebra
160,3, prospective elementary teachers
161,0,skype
161,1, speaking skills
161,2, online platforms
161,3, perceptions
161,4, malaysian undergradu-ates
162,0,e-services
162,1, e-service quality
162,2, bibliometric analysis
163,0,industry 4.0
163,1, manufacturing
163,2, bibliometric analysis
163,3, scopus
164,0,industry 4.0
164,1, healthcare
164,2, digital health
164,3, systematic review
165,0,digital readiness
165,1, covid-19
165,2, student development and success
166,0,energy save
166,1, arduino
166,2, mobile apps
166,3, led
166,4, sensor
167,0,orientation
167,1, accelerometer
167,2, sound level
167,3, hear rate
167,4, light of intensity
168,0,internet
168,1, learning autonomy
168,2, attitude
168,3, hindrance
168,4, covid-19 pandemic
169,0,project based learning
169,1, chemistry
169,2, rate of reaction
169,3, science process skills
169,4, chemical representation
170,0,u-learning
170,1, perception
170,2, programming
170,3, instructional
171,0,online learning
171,1, learning experience
171,2, immersive experience
171,3, covid-19
171,4, media-tor analysis
172,0,online distance learning
172,1, domain knowledge
172,2, self-efficacy
172,3, behavioral inten-tion
173,0,drones communication architectures
173,1, uaanet drones network
173,2, routing protocols
173,3, optimized link state routing protocol (olsr) ad hoc on demand distance vector (aodv)
173,4, ad hoc network.
173,5,
174,0,motor learning
174,1, measuring instruments
174,2, preschool education
174,3, sensory technology
175,0,sensor fusion
175,1, human activity recognition
175,2, machine learning
175,3, deep learning
175,4, sensors
176,0,continuing education
176,1, distance education
176,2, technological competence
176,3, change
176,4, professionalization.
176,5,
177,0,customer reviews
177,1, information and communication technology skills
177,2, multiple-criteria decision-making
177,3, phone service
177,4, term frequency-inverse document frequency
177,5, vikor
178,0,high dimensionality
178,1, ensemble
178,2, spam detection
179,0,vanets
179,1, geographical routing protocols
179,2, gpsr
179,3, qos
179,4, vanetmobisim
179,5, ns-2
180,0,education
180,1, mobile learning
180,2, perception
180,3, archiving course
180,4, interactive media
181,0,augmented reality
181,1, unity 3d
181,2, image marker
181,3, smart bus transportation
181,4, mobile application.
181,5,
182,0,dynamic mathematics software
182,1, polyhedron
182,2, hungry ant
182,3, video based learning
183,0,online math education
183,1, student satisfaction
183,2, online course components
183,3, vir-tual classes
183,4, student preferences
183,5, covid-19 effects
183,6, math instruction
184,0,meerkat clan algorithm
184,1, selection of features
184,2, nids
184,3, nsl-kdd
184,4, unsw-nb15
185,0,encryption
185,1, discrete wavelet transform
185,2, steganography
185,3, modulated image
185,4, hidden image
186,0, lte
186,1, cryptography
186,2, 4g
186,3, authentication
186,4, confidentiality
186,5, security
186,6, snow3g
186,7, aes
186,8, zuc
187,0,ids
187,1, iot
187,2, deep neural networks
187,3, ddos
187,4, bot-iot.
187,5,
188,0,lung disease
188,1, machine learning
188,2, deep learning
188,3, ct-images
188,4, cnn
188,5, covid-19
189,0,free space optics
189,1, radio frequency
189,2, amplitude shift keying
189,3, quadrature ampli-tude modulation
189,4, quadrature phase shift keying
189,5, wavelength division multiplex-ing
189,6, power management
190,0,cryptography
190,1, gf(28)
190,2, gf(p)
190,3, magic square
190,4, multi-level key.
190,5,
191,0,security
191,1, protection
191,2, internet
191,3, sms spam
191,4, intrusion detection
191,5, attacks.
191,6,
192,0,covid-19
192,1, fuzzy c-mean (fcm)
192,2, propagation (bp) classification
192,3, information gain (ig)
192,4, mobil application
193,0,android-based applocation
193,1, mental health
193,2, college student
193,3, covid-19 pandemic
194,0,artificial intelligence
194,1, covid-19
194,2, decision tree algorithm
194,3, detection system.
194,4,
195,0,voip
195,1, vpn
195,2, wlan
196,0,mobile learning
196,1, m-learning preferences model
197,0,integrated vehicle health monitoring (ivhm)
197,1, sensor
197,2, data aggregation
197,3, flat routing
197,4, hierarchical routing
198,0,business education
198,1, enterprise information systems
198,2, interdisciplinary approaches
198,3, university curriculum development
199,0,information systems
199,1, information technology
199,2, rural health
199,3, telemedicine
200,0,basic programming
200,1, verbal protocols
200,2, dual coding
200,3, e-learning
201,0,communication systems
201,1, information technology
201,2, risk analysis
201,3, solar radiation
201,4, organizational security
202,0,application design
202,1, creativity tool
202,2, innovation support
202,3, user motive analysis
203,0,mobile marketing
203,1, consumer adoption
203,2, consumer acceptance
204,0,keywords
204,1, mobile-payment
204,2, value chain
204,3, nfc
204,4, rfid
204,5, customer adaptability
204,6, sustainability
204,7, interoperability
204,8, m-payment security and trust
204,9, etc.
204,10,
205,0,e-learning
205,1, m-learning
205,2, interactive learning
205,3, education satellite
205,4, spot beam communication.
205,5,
206,0,mobile learning
206,1, educational games
206,2, mixed reality
206,3, conversational framework
207,0,termsâ??cellular phone
207,1, mobile learning
207,2, mathematics
207,3, learning community
207,4, middle school students
207,5, preservice teachers
208,0,-  mobile learning
208,1, ninntendo ds
208,2, handheld game console
208,3, interactive classroom
209,0,concept mapping
209,1, learning network
209,2, social support system
209,3, software needs analysis
210,0,peer-to-peer
210,1, client-server
210,2, network
210,3, mobile learning
211,0,handover
211,1, bts
211,2, bsc
211,3, channel exchange
211,4, mobile network
211,5, ports allocation
212,0,e-learning
212,1, m-learning
212,2, semantic web
212,3, educational systems
212,4, evaluation systems
212,5, interactive applications.
212,6,
213,0,customer relationship management
213,1, crm
213,2, electronic banking
213,3, e-banking
213,4, mobile banking
213,5, m-banking
213,6, security
213,7, ubiquitous
214,0,comparing mobile with desktop
214,1, flow experience
214,2, mobile devices
215,0,m-learning
215,1, laboratory education
215,2, flash lite
215,3, online laboratory
216,0,mobile learning
216,1, mobile devices
216,2, analog electronics course
216,3, competitive learning
217,0,mobile learning
217,1, motivation
217,2, psychology
217,3, sms language.
217,4,
218,0,mobile systems
218,1, agent-based systems
218,2, event notification systems
218,3, publish/subscribe model
219,0,e-commerce
219,1, network security
219,2, digital certificates
219,3, certification authority
219,4, e-business
219,5, pki
219,6, and digital signature.
219,7,
220,0,educational technology
220,1, mobile learning (mlearning)
220,2, test preparation (test prep)
220,3, standardized test
220,4, technology acceptance
220,5, user interfaces.
220,6,
221,0,human factors
221,1, navigation
221,2, state of art
221,3, review
222,0,mobile learning
222,1, sms
222,2, distance education
222,3, learning transfer
223,0,mobile learning
223,1, context specific
223,2, learner centric
223,3, ontology
223,4, web service
223,5, usability study.
223,6,
224,0,e-learning
224,1, satellite tv
224,2, iptv
224,3, e-learning strategy
224,4, interactive tv
224,5, video on demand (vod)
224,6,
225,0,api library
225,1, collaborative learning
225,2, m-learning
225,3, framework
225,4, instructional design
225,5, process model
226,0,mobile learning
226,1, rasch model
226,2, sms
226,3, text message
227,0,mobile device
227,1, elderly
227,2, health system
227,3, hong kong
228,0,content generation
228,1, flash lite
228,2, multimedia authoring
228,3, mobile phones
228,4, interactive multimedia application
229,0,mobile learning
229,1, education
229,2, mobile phone
230,0,mobile learning
230,1, distance education
230,2, sms
230,3, 
230,4,
231,0,human computer interaction
231,1, operational research
231,2, mobile digital television
231,3, verbal decision analysis
231,4, interaction design
232,0,mobile
232,1, learning
232,2, m-learning
232,3, sms
232,4, rasch model
233,0,e-services
233,1, mobile commerce
233,2, mobile technology
233,3, tourism
233,4, web-based information system
233,5, wireless mobile computing
234,0,rangefinder
234,1, gps
234,2, position measurement
234,3, road maintenance
235,0,ple
235,1, mobile learning
235,2, rfid
235,3, smart spaces
236,0,analytical model
236,1, integration strategy
236,2, mobile ad hoc network
236,3, relay path set
237,0,keywords
237,1, mobile banking (mb)
237,2, theory of planned behavior (tpb)
237,3, technology acceptance model (tam)
237,4, trust (tmb)
237,5,
238,0,collaboration
238,1, context
238,2, mobile learning
238,3, learning content.
238,4,
239,0,e-learning
239,1, m-learning
239,2, mobile technology
239,3, educational systems
240,0,intelligent sensors
240,1, wireless sensor network
240,2, quality of service
240,3, diffserv and mpls.
240,4,
241,0,ber
241,1, tdd
241,2, mc-cdma
241,3, snr
241,4, delay
242,0,envelope repository
242,1, envelope p-write protocol
242,2, expected and average expected cost
242,3, peer connected set.
242,4,
243,0,computer
243,1, microcontroller
243,2, amplitude shift keying
243,3, transmitter
243,4, receiver
243,5, antenna.
243,6,
244,0,information systems embedded application
244,1, intelligent sensors
244,2, wireless sensor network
244,3, adhoc networks
244,4, olsr protocol
244,5, multipoint relays
244,6, node mobility and mobility quantification
245,0,mobile database
245,1, integrity constraints
245,2, integrity tests
245,3, data caching.
245,4,
246,0,neural network
246,1, ldpc codes
246,2, robot
246,3, mimo
246,4, and ofdm
247,0,mobile hand over
247,1, coverage area measurements
247,2, signal strength simulation
247,3, mobile positioning & digital cellular system
248,0,students' attitudes
248,1, cell phone
248,2, mobile learning
248,3, mobile phone
248,4, digital age
249,0,pedagogy
249,1, mobile learning
249,2, content
250,0,virtual reality
250,1, m-learning
250,2, collaborative learning
250,3, mobile computing.
250,4,
251,0,e-learning
251,1, education
251,2, ad-hoc networks
251,3, wireless lan
251,4, video coding
252,0,mobile
252,1, peer-to-peer
252,2, collaborative work
252,3, cscw
252,4, collaboration
252,5, groupware
252,6, heterogeneity
252,7, j2me
252,8, java me
252,9, software engineering
253,0,m-learning
253,1, mobile learning content
253,2, adaptation
253,3, computer based training (cbt).
253,4,
254,0,computer assisted mobile learning
254,1, distance education leadership
254,2, technology enhanced learning management system
254,3, public universities
254,4, quality.
254,5,
255,0,m-learning
255,1, mobile blog
255,2, nomadism
255,3, usb key
256,0,usability
256,1, mobile learning content and mobile devices
257,0,situated simulations
257,1, augmented reality
257,2, genre design
257,3, iphone.
257,4,
258,0,mobile learning
258,1, blended learning
258,2, higher education
258,3, learning model
259,0,m-learning
259,1, mobile applications
259,2, language learning
259,3, user-oriented interfaces
259,4, online english assessment tests
260,0,mobile phone learning
260,1, middle school students
260,2, perceptions
261,0,e-learning
261,1, mobile phones
261,2, best practices
261,3, multi-media
262,0,mcommunication
262,1, mobile communication
262,2, mobile marketing
262,3, mobile gaming
262,4, barcelona
263,0,e-book
263,1, e-book reader
263,2, e-ink
263,3, e-ink reader
263,4, distance learning
264,0,bluetooth
264,1, mavbt
264,2, mobile application
264,3, wireless technology
265,0,computer-mediated communication
265,1, context-aware computing
265,2, contextual communication
265,3, userâ??s context
266,0,mobile video-based learning
266,1, h.264/mpeg-4 avc software codec
266,2, mobile conferencing
266,3, peer-to-peer group communication
266,4, distributed sip conference management.
266,5,
267,0,m-learning
267,1, ggsn
267,2, e-learning
268,0,e-learning
268,1, m-learning
268,2, wap
268,3, lms
269,0,m-learning
269,1, wireless applications
269,2, wireless course management system
269,3, wireless networks
270,0,gps (global positioning system)
270,1, mobile devices
270,2, mobile learning
270,3, pda (personal digital assistant)
270,4, web 2.0.
270,5,
271,0,next generation commerce
271,1, next generation internet
271,2, next generation mobile
271,3, next generation commerce technologies.
271,4,
272,0,city-wide learning
272,1, collaborative learning
272,2, learning scenarios
272,3, technology mediated learning
273,0,adaptation
273,1, context-aware
273,2, hierarchical task model
273,3, learning and working situation
273,4, pervasive learning
273,5, service description
273,6, service requirement
273,7, task/method paradigm.
273,8,
274,0,mobile learning
274,1, educational games
274,2, language learning
274,3, vocabulary learning
275,0,second language acquisition
275,1, mobile assisted language learning
275,2, language learning diaries
275,3, noticing
275,4, open learner modelling
276,0,sms
276,1, mobile phones
276,2, transition to he
276,3, time management
276,4, text management service
277,0,mobile learning
277,1, distance education
277,2, mobile technology
277,3, convenience education
278,0,e-learning
278,1, mpl
278,2, j2me
278,3, moodle
278,4, mmwcl
278,5, xml.
278,6,
279,0,educational systems
279,1, affective computing
279,2, mobile systems
279,3, adaptive systems
280,0,mobile devices
280,1, higher education
280,2, faculty perspectives
280,3, technological & pedagogical aspects
281,0,multiplatform adaptation
281,1, client mobile software
281,2, design principles
281,3, location based adaptive mobile learning
282,0,adaptativity
282,1, context
282,2, mobile learning
282,3, learner context
282,4, lip
282,5, 
282,6,
283,0,nomadic learning
283,1, mobile learning
283,2, context-awareness
283,3, context-aware hypermedia
283,4, geospatial hypermedia
283,5, physical linking
283,6, tagging
284,0,gender
284,1, ethnicity
284,2, instructional design
284,3, mobile learning
284,4, quality assurance
284,5, technology enhanced learning
285,0,context-aware
285,1, literature survey
285,2, mobile learning
285,3, pervasive learning environment
286,0,mobility
286,1, adolescence
286,2, diabetics
286,3, learning
286,4, human computer interaction
286,5, quality of life
287,0,traffic flow
287,1, nonlinear and nonstationary time series
287,2, qos
287,3, farima
287,4, rrbfn
287,5, esn and prediction
288,0,m-learning
288,1, telerobotics
288,2, distant learning
288,3, speech recognition
289,0,online community
289,1, mobile
289,2, deaf
289,3, design process model
289,4, design methods
289,5, human factors techniques
289,6, interface design
290,0,ngn
290,1, personalization
290,2, profile management
291,0,user experience
291,1, mobile phones
291,2, im
291,3, chat
291,4, text messaging
291,5, multi-device services
292,0,mobile work
292,1, user-centered design
292,2, user interface culture
293,0,character size
293,1, elderly person
293,2, lcd
293,3, visibility
294,0,elearning
294,1, mlearning
294,2, ulearning
294,3, learning
294,4, training
294,5, mobile device
294,6, learning platform
294,7, specification
294,8, contents
295,0,mobile internet
295,1, mobile web 2.0
295,2, mobile data industry
295,3, point of inspiration
295,4, snippets
295,5, collective intelligence.
295,6,
296,0,collaboration
296,1, construction
296,2, mobile
296,3, visualisation
297,0,distance learning
297,1, e-learning
297,2, it-use
297,3, mobile learning
298,0,context-aware
298,1, learning schedule
298,2, mobile learning
298,3, learning java programming
298,4, learning objects
298,5, self-regulated learning
299,0,large class teaching
299,1, mobile phone messaging
299,2, activity theory
299,3, m-learning
300,0,location-based services
300,1, mobility
300,2, m-learning
300,3, rfid.
300,4,
301,0,e-learning
301,1, collaboration
301,2, conferences
301,3, web technology
301,4, social networking
301,5, professional networking
302,0,adaptive user interfaces
302,1, adaptable user interfaces
302,2, personalization
302,3, mobile human-computer interaction (mobile hci)
302,4, mobile learning
302,5, universal usability
302,6, universal access
303,0,higher education
303,1, m-learning
303,2, podcast
303,3, ubiquitous learning
304,0,e-learning
304,1, interoperability
304,2, m-learning
304,3, lom
