,publishing_date,abstract
26,2022-04-05,general generat z mix english indonesia communic sociolinguist phenomenon call codemix impact social media part develop inform communic technolog ict therefor studi investig impact social media use codemix generat z studi carri serang raya univ indonesia english foreign languag use teach student research also aim highlight contribut social media codemix determin reason generat use english indonesian social media data collect selfcomplet questionnair interview result show use social media impact codemix indonesian english gen z
27,2022-04-05,covid19 outbreak affect sever aspect fieldba learn best way ensur surviv safeti everyon involv fieldba learn adapt integr technolog respon problem numer innov learn technolog lead virtual learn environ begun emerg howev various applic product develop fallen short expect student result order design optim virtual applic use fieldba learn need analysi must done studi offer understand student need virtual fieldba learn applic onlin survey 140 activ univ student carri result show student requir applic sophist featur resembl real world implement onlin fieldba learn expect incorpor onlin meet featur 360 virtual realiti panorama access learn video augment realiti learn materi chatbox multimedia softwar develop
28,2022-04-05,learn media one import compon process implement learn especi current pandem realiti still teacher use media learn process caus student learn outcom declin interact media one media use attract student attent combin system rang text imag video audiosound provid new experi student learn studi aim determin student learn outcom use androidba interact learn media social scienc subject popul group consist 70 student sever school cluster 2 cipinang muara villag sampl taken use slovin formula get 60 sampl fourth grade student studi use experi research method use singl group pre test post test collect data analyz test result show androidba interact media posit effect student learn outcom student experienc signif increa learn outcom use media addit student feel interest easier understand materi use applic result show androidba interact media posit effect student learn outcom student experienc signif increa learn outcom use media addit student feel interest easier understand materi use applic result show androidba interact media posit effect student learn outcom student experienc signif increa learn outcom use media addit student feel interest easier understand materi use applic
29,2022-03-22,though expand comput think primari school student becom preval lack appropri didact educ robot offer possibl approach howev innov find way classroom teacher find feasibl mean thus appropri train educ teacher becom necess paper report investig profess develop teacher program robot integr method storytel teach draw technolog usag inventori tui model explor interdisciplinari interv programm robot combin storytel method tell draw code influenc intent use classroom compar preand posttest qualit data analysi show signif increa posit attitud toward use robot learn scenario produc particip show success implement succeed find highlight need teacher explor reflect experi potenti new technolog part teacher develop implement innov sustain quasiexperi studi show problemba interdisciplinari didact set particular well receiv teacher promot comput think narrat read skill primari school student equal measur easili taught transfer
30,2022-03-22,research conduct increa product farmer plan plant crop farmer use hydropon system control various environ condit plant growth factor temperatur humid water temperatur ph electr conduct import factor hydropon internet thing control notif enabl farmer quick modifi improv crop treatment research focus use internet thing control plant growth factor display alert communic user web applic compar plant control growth factor unregul system seen control plant growth factor desir rang plant wherea uncontrol system unwant valu rang plant caus plant fulli grow even wither system farmer abl view plant growth factor data retrospect view graph display web applic control system measur sensor system rang plant want prompt farmer manag system allow fix system quick minim damag crop
31,2022-03-22,develop technolog lot influenc field educ one term learn media digitalba learn media develop creat fun learn one digit game also known digit game posit influenc increa student motiv learn process reason purpo studi prove effect digit gameba media increa motiv learn scienc popul group consist 129 student cluster north sukabumi villag school research sampl carri simpl random sampl calcul number sampl slovin formula use result 98 student sampl studi use experi research method singl group pretestposttest instrument questionnair use likert scale type data analysi use research inferenti analysi use ttest result studi indic digit game media posit influenc student learn motiv literatur review compri 40 studi studi also show student experi increa learn motiv use digit game media digit game media student becom motiv follow understand learn materi taught
32,2022-03-22,research aim improv innov hi world integr ar test level attract hi world test level hi world appropri covid19 patient research method rd involv expert covid19 digit media result research innov hi world improv good level appropri score 90 level attract book good score 95 hi world design choic suitabl requir covid19 patient need
33,2022-03-22,organ move away tradit classroomba train onlin train wherebi employ attend cour conveni either home workplac transit fuell lockdown govern worldwid implement counter spread covid19 pandem employ expect work attend train home howev sever issu includ lack employ engag hinder effect deliveri onlin corpor train recent year gamif identifi solut lack engag educ gamif involv incorpor game element nongam applic encourag user engag differ combin use differ learn context howev littl research done identifi suitabl game element gamif corpor onlin train studi propo set game element improv employ engag onlin train platform stepbystep analysi literatur led identif nine potenti suitabl game element element evalu group expert select five wellknown train provid saudi arabia complet semistructur interview questionnair usabl complet use element result evalu indic identifi game element abl effect effici improv employ engag set nine game element incorpor propo framework gamif onlin train platform enhanc employ engag
34,2022-03-22,covid19 pandem countri face various level covid19 infect rate million student affect chang educ process howev mani music school face challeng deal situat necessit emerg measur continu academ cour midst lockdown social distanc measur therefor import evalu effect onlin method learn decid feasibl appropri music student thus research aim provid analysi music student percept tower music elearn educ covid19 pandem studi situat musician covid19 studi music distanc learn knowledg attitud practic develop suggest solv problem sampl 83 student music depart univ jordan complet questionnair onlin survey distribut survey sought popul socioeconom inform inform relat electron onlin music train music educ covid 19 pandem mental music assess skill attitud practic elearn respond 762 agr distanc learn applic music depart 542 respond agr distanc learn possibl substitut standard educ howev elearn actual creat modern way improv process learn improv learn perform
35,2022-03-22,assess qualityofexperi qoe correspond given set qualityofserv qos paramet high import mobil network oper method subject qoe assess multi stimulus test hidden refer anchor mushra subject assess methodolog video qualiti samviq base collect user feedback one sever stimuli ie differ process version sourc generat stimuli correspond given set qos paramet qoe assess mobil applic timeconsum nontrivi task therefor paper propo novel public avail opensourc framework stimuli generat qoe assess mobil applic base combin network emul automat userinterfac control real mobil devic whose behavior record postprocess generat suitabl stimuli articl present basic concept framework describ opensourc implement conclud initi evalu framework base typic type mobil applic
36,2022-03-22,teacher must develop learn tool assist student make easier follow cour learn improv student abil teacher integr local wisdom learn tool impact increa student compet purpo research produc learn tool base local wisdom suitabl use learn tool develop consist lesson plan student worksheet android media base result feasibl assess sever valid consist two expert two physic teacher three colleagu learn tool develop good categori suitabl use averag score 380 440 furthermor 30 student test product determin readabl product name android media learn media base result product trial analysi known android media product good categori worthi use learn resourc larger scale averag score 410 learn tool use altern contextu physic learn guidelin
37,2022-03-22,assess activ guidanc counsel fundament activ essenti student selfunderstand becam need assess guidanc counsel program new normal era student academ life experi turmoil trigger various problem studi aim develop onlin psycholog assess skill train guidanc counsel teacher research method use conceptu develop research 4d develop step defin focus design develop focus dissemin focus studi result explain 1 model onlin psycholog assess skill train procedur base reflectivediscuss experienti learn 2 construct onlin psycholog assess media base googl platform reflectivediscuss activ experienti learn provid direct experi train improv onlin psycholog assess skill multius various platform googl make onlin assess structur systemat provid confidenti analysi report process automat googl platform could use free simpl give comprehen integr product still need test valid practic effect improv onlin psycholog assess skill high school guidanc counsel teacher
38,2022-03-22,school sourc knowledg need facilit 3d geometr think process involv seri cognit action therefor research investig potenti integr augment realiti ar 6e instruct 3d geometr model 6e i3dgm exploratori research carri teacher 28 junior high school student indramayu district indonesia data collect observ interview examin select extract code base criteria determin data collect interpret conclud descript analyz use content analysi result show learn integr ar 6e i3dgm abil rai 3d geometr think process dimen repres spatial structur measur use ar characterist help student repr construct net visual structur 3d shape assist measur surfac area volum 3d geometri moreov also facilit student construct knowledg seri 3d geometr think activ therefor use learn integr ar 6e i3dgm potenti altern learn 3d geometri covid19 pandem
39,2022-03-22,paper present design develop evalu robobug board game develop foster comput think ct among primari school pupil malaysia particular encount comput internet access issu util richey klein design develop ddr methodolog research serv primer first concentr need analysi design convert develop board game focus studi design aspect robobug might help children grasp ct principl foster ct practic robobug board game initi assess remot via questionnair panel eight subject matter expert malaysian institut use questionnair evalu rubric expert ask offer insight follow object evalu design featur ii examin comput concept iii examin comput practic robobug board game research found robobug board game signif potenti use unplug tool altern techniqu instructor enhanc ct abil outsid typic classroom addit util incorpor collabor gameba learn teacher instruct strategi boost student engag achiev robobug board game shortcom suggest improv discuss
40,2022-03-22,research propo improv aquarium environ ornament fish farm small enterpri rai ornament fish sale covid19 pandem automat aquarium system capabl forecast optimum environ fish use multilay perceptron neural network sinc amount collect data limit also employ adjust imbalanc dataset appli synthet minor oversampl techniqu increa forecast accuraci subsequ develop system base internet thing devic conjunct sensor measur indic affect aquarium environ includ temperatur turbid total dissolv solid potenti hydrogen ion dissolv oxygen nitrat ion mobil applic develop collabor sensor devic facilit entrepreneur monitor control automat system result show accuraci develop water environ forecast model 9731 gave highest level autom effici therefor develop autom aquarium system could appli reduc fish mortal maintain environ condit grow adequ fish life span
41,2022-03-22,natur disast tsunami claim live mani coastal resid everi year therefor tsunami evacu drill import costal resid surviv tsunami develop tsunami evacu drill system enabl particip evacu move shelter occas glanc mapba tsunami simul mobil devicesth system follow advantag 1 practit easili customi simul 2 simul display web browser 3 particip evacu rout record display simul systemw conduct preliminari compar experi 18 univ student found develop system accept particip use tablet rather use smartglass
42,2022-03-08,digit era accel develop educ media enabl access educ activ locat time distanc educ gain popular flexibl implement purpo studi determin role mea applic machin element learn specif state univ malang d3 mechan engin studi program mea interact mobil learn platform design broaden d3 student access sourc learn tool quantit descript studi popul studi consist 40 student enrol d3 mechan engin state univ malang data gather literaci assess observ interview questionnair tool questionnair construct basi likert scale instrument test includ valid reliabl check data analysi techniqu descript analysi five conclus drawn result analysi first mea applic 786 userfriend second mea applic easi use machin element learn process 821 case third mea applic assist machin element learn process 75 fourth 893 mea applic technolog suitabl distant educ machin element cour fifth mea applic improv machin element learn outcom 821
43,2022-03-08,studi aim design motor skill train tool children use sensorba agil compon pgysic educ learn studi use research develop design materi use arduino connector led sensor tool power button tool cover product design made collect research data conduct direct interview expert valid compet expert studi ask valid three expert name 1 evalu exerci evalu 2 instrument physicist 3 motor skill expert collect research data conduct direct interview expert base expert valid test design skill train tool use sensorba agil compon get effect result use carri motor skill exerci import motor skill basi everi child activ life help tool help children encourag practic design motor skill train tool sensorba agil compon potenti effect train children motor skill
44,2022-03-08,purpo studi determin appli 1 augment realiti ar develop process 2 ar model design 3 applic ar technolog 4 result ar develop use support learn method build engin educ studi program implement 2020 curriculum adequ teach materi need prospect profess teacher quick learn learn materi use latest learn facil meet demand 21stcenturi learn main materi must master prospect profess teacher construct hous engin experti program includ static build construct construct draw construct manag number materi contain main materi requir map essenti compet must master prospect profess teacher student basic materi learn construct hous engin experti program essenti compet identifi use materi develop 3d arba learn media deliv onlin access student without limit dimen space time result develop learn media make easier prospect profess teacher student learn main content
45,2022-03-08,mobil technolog integr malaysia english languag educ bright futur owe mani advantag offer mobil devic howev inadequ studi systemat review exist work malaysia uncov gap use mobil technolog english teach learn thus systemat review conduct offer uptod synthesi mobileassist languag learn mall integr malaysia januari 2019 januari 2021 review follow prisma statement guidelin result identif eleven articl met inclus criteria follow eleven articl anali synthesi quantit qualit use seven code deriv two earlier systemat review literatur code 1 research object 2 research methodolog 3 educ level 4 learn context 5 devic type 6 theori 7 research outcom systemat review discov sever signif find includ fact major studi examin effect mall integr student english acquisit perform mall preval malaysian higher educ institut level educ lowest preval primari school light inform recommend futur research propo malaysian academ encourag broaden scope futur research engag student level educ futur mall practic order better understand mall usabl english languag instruct malaysia
46,2022-03-08,due covid19 pandem world popul undergon differ chang impact use internet stand daili aspect educ commerc health among made us high depend usag regard term internet thing iot increa recogn contribut improv peopl life qualiti object integr connect internet document aim introduc altern iotba home autom make use nodemcu sinric pro smart voic assist googl home alexa propo effici term easi implement reduc electr consumpt around 30 document research help famili improv energi effici daili product iot
47,2022-03-08,consumpt electr energi alway increa everi year one caus lifestyl bad lifestyl forget turn unus electron devic leav home one factor increa consumpt electr energi result wast occur devic control system still done manual one solut solv problem implement remot devic control system sever studi develop remotecontrol system equip featur determin condit devic normal damag condit difficult identifi success control paper internet thingsba electron devic control system design built equip devic condit monitor featur light temperatur thermal electr current sensor emb system determin condit devic control test system success averag respon time 332 second accuraci sensor read 89 implement system user easili monitor control electron devic anywh anytim opportun effici effect use electr energi increa
48,2022-03-08,aim research determin support factor implement mobil learn elementari school student indonesia use authent approach realworld activ signif various approach mobil learn use elementari institut howev educ model ideal data show 92 student learn difficulti 38 state receiv teacher guidanceth method use descript quantit popul elementari school student purpo select sampl 26 pupil sampl taken base characterist coastal area citi center assess entri behavior questionnair test sheet use moreov data gather home visit whatsapp applic process use percentag techniqu smartpl applic obtain accur result addit qualit approach use develop analysisaccord result support factor implement mobil learn use authent approach realworld activ follow 1 student alreadi concret logic think skill 2 entri behavior student still low 3 visual auditori learn style affect mean learn furthermor research suggest teacher learn design creat mobil learn exerci support authent learn realworld pursuit
49,2022-03-08,videoba learn vbl long practic use educ environ help student enhanc level understand educ content vbl wide produc various platform support achiev optimum level student perform addit concept edutain use video educ gain traction particular children learn implement edutain notion learn process critic compon success learn previous research examin benefici effect edutain use video learn purpo shown improv effect learn process generat enjoy learn experi student paper aim children emv captur attent even standard educ video due interact content howev studi edutain educ music video particular studi much thus object paper twofold review discuss conceptu approach edutain signif toward student learn experi ii propo compon element edutain educ music video emv children learn find studi outlin characterist edutain utili criteria select finest emv learn children
50,2022-03-08,region chine first languag children backward chine charact abil like give read subject content long text affect learn long term studi appli augment realiti ar develop remedi teach model chine radic recognit assess effect underachiev student elementari school base sever chine charact easi children confus radic ar app android develop instal tablet comput remedi teach model involv student use ar app scan radic card trigger anim introduc evolut radic student practic chine charact write tablet comput screen multipl stimulus ar teacher lead student collabor complet worksheet assess student learn outcom quasiexperi approach administr 8 second grade student backward chine literaci qualit quantit data collect result show remedi teach model improv disadvantag student recognit accuraci chine charact flip motiv toward chine charact learn remedi teach program use ar effect get student attent impress chine radic final implic chine charact teach practic discuss
51,2022-03-08,rise incur emb link sensor caus construct internet thing iot present wide access physic world support head data web thing wot requir framework permit achiev program relat sensor iot paper present conceptu model describ web thing search engin wotseour wot base artifici multi agent system modular architectur address key challeng scalabl search rapid chang content leverag exist web infrastructur also model search wot name wotmas2 propo experi evalu use prototyp
52,2022-03-08,nowaday develop virtual realiti vr immer virtual realiti ivr applic one altern support tool use support children learn road safeti educ ear stage vrivr applic develop cybersick one main concern occur nonimm immer environ includ vr platform mobil tether involv inconsist visual physic movement virtual environ thus primari concern studi explor identifi appropri design guidelin reduc cyber simul sick develop vrivr applic platform employ previous research accord 14 studi select review compar analysi find studi discuss appropri cybersick reduct design guidelin principl applic benefici develop process vrivr applic respect reduc cybersick effect
53,2022-03-08,nowaday stem educ play essenti role econom growth competit nation systemat review aim reveal research trend stem educ last 10 year total 336 studi publish select analysi time span limit period 2011 late 2020 sampl paper examin captur latest research trend status regard stem educ includ number paper year research type countri rank number author collect data formula propo howard et al [1] employ determin product countri term stem educ scholarship find reveal stem educ garner greater attent grew rapid within period frequent research type use stem educ quantit studi addit us australia netherland product countri stem educ research ten year paper publish select journal written three author indic stem educ attract topic explor collabor research educ around world
54,2022-03-08,constant increa comput power mobil devic tablet smartphon new prospect open applic particular trade industri medicin educ etc field educ mobil devic high potenti proper integr form new effect learn model articl devot develop mobil applic multilingu kazakh russian english educ platform distanc learn physic higher secondari educ institut use augment realiti technolog
55,2022-02-28,chang implement educ polici emerg period spread covid19 virus learn process carri home onlin use various learn resourc condit trigger emerg behaviour problem student compet indonesia one distanc learn media carri pandem use learn manag system lms polici evalu need carri evalu distanc learn system implement univ technologyba distanc learn requir differ approach term plan implement evalu increa effect learn use assess learn afl model learn process also expect accord learn direct comput think approach much need consid problemsolv skill need solv everyday problem base result data analysi 4d develop model defin design develop dissemin learn manag system base assess learn improv comput think abil got averag score 852 mean implement well
56,2022-02-28,fli ad hoc network fanet develop innov technolog access place without perman infrastructur emerg form network construct fli node known unman aerial vehicl uav fli fast rate speed caus frequent chang network topolog connect failur result dedic fanet rout protocol enabl effect communic devic purpo paper evalu perform categori topologyba rout protocol fanet surveil system involv video traffic four rout protocol vari rout mechan examin addit simul experi conduct determin influenc fli altitud result indic hybrid rout protocol outperform type protocol term averag throughput proactiv protocol hand least jitter
57,2022-02-28,mathemat learn innov teach materi use school still form print book govern 40 era use technolog use make teach materi form emodul electron modul use kvisoft flipbook applic purpo studi determin valid practic student respon design number pattern emodul base mathemat creativ think skill use kvisoft flipbook applic use learn resourc student classroom learn process independ learn method use studi research develop rd method use addi model data collect techniqu use valid questionnair user practic questionnair student respon questionnair emodul result studi show emodul feasibl use result materi expert valid media expert valid user practic student respon emodul base result studi design emodul use kvisoft flipbook maker applic base mathemat creativ think skill appropri use learn process class viii number pattern materi
58,2022-02-28,covid19 pandem transform tradit educ level shift onlin classroom monitor student attend interact live onlin class challeng educ lockdown mani factor influenc particip attend onlin class highlight research research investig particip student regist cour introduct web program lab hashemit univ student particip measur base attend class interact assign deliveri util elearn platform student cour learn outcom clos investig evalu use survey number student evalu autumn 1st semest spring 2nd semest semest 20202021 212 student find indic onlin educ success implement materi content understood student analysi show interact student meet class consid low
59,2022-02-28,studi aim explor factor influenc preserv teacher deci use internet thing iot classroom set digit system enhanc teach learn achiev aim technolog accept model tam use investig effect use iot elearn environ preserv teacher perceiv use perceiv ea use attitud toward use iot influenc attitud student behavior fortyseven finalyear preserv teach student select particip purpo sampl quantit approach via regress analysi conduct analyz collect data result show tamrel factor perceiv use perceiv ea use signif contribut preserv teacher intent use iot classroom howev intent use iot influenc attitud toward implic recommend futur work suggest result studi
60,2022-02-28,current technologyba learn media need attract student learn interest augment realiti hologram technolog abl answer problem addit ludo game also increa student learn interest appli learn media studi aim develop learn media base augment realiti hologram ludo game topic molecular shape well know feasibl learn media research develop rd use research method develop media adapt addi model includ stage assessmentanalysi design develop implement evalu feasibl learn media base result product valid learn media materi small group trial 17 senior high school student result studi found percentag product valid result learn media 8556 feasibl materi 8800 feasibl small group trial 8725 feasibl base conclud learn media feasibl implement studi topic molecular shape
