,article_title,keywords,publishing_date,abstract
15,potentials and challenges of mobile media in museums,",adaptive systems, informal learning, information retrieval, mobile communication, museums, unsupervised learning",2007-10-11,"in this article we discuss potential scenarios of use for mobile media in museums and the challenges they pose. we examine how the characteristics of mobile technology suit the specific characteristics of a museum setting. based on these considerations different ways to support visitors with mobile devices are put forward: attentional focus and guidance; satisfaction of situational interest; information adaptation to a specific visitor and to a specific location; information elaboration through facilitation of knowledge exchange and documentation of the visit, as well as assistance in exhibition evaluation. implications for the development of mobile applications in museums are derived."
16,an approach to ad-hoc messaging networks using time shifted propagation,",ad-hoc messaging network, mobile ad-hoc network, network simulation, time shifted routing, store and foreward message propagation",2007-10-12,"many communication devices, like mobile phones and pdas, are enabled for near field communication by using bluetooth. many approaches dealt so far with the attempt to transfer mobile ad-hoc networks (manet) to the mechanism of the â??fixed internet"
17,contextual mobile learning: a step further to mastering professional appliances,",m-learning, contextual learning, just-in-time learning, learning by doing, wearable computer, computer augmented environment, cooperative activities",2007-10-11,"in this paper we describe our approach whose objective is to apply mococo concepts to e-learning. after a short presentation of mococo (mobility, cooperation, contextualization) and imera (mobile interaction in the augmented real environment) principles we will discuss their use in a project called hmtd (help me to do) whose aim is to use wearable computer for a framework of activities of better use, maintenance and repairing of professional appliances. we will successively describe m-learning scope, contextualization and cooperation advantages as well as learning methods. a case study of configuration of wearable computer and its peripherals, taking into account context, in-situ storage, traceability and regulation in these activities finishes this paper."
18,web-based context-aware m-learning architecture,",context-awareness, educational technology, m-learning, mobile aided learning, ontology",2007-10-11,"context awareness is essential in mobile learning being a highly personalized environment with diverse capabilities. major challenges of context awareness are to define the learning context, how to sense it, and how to react to changes. our proposed system provides a general architecture that facilitates contextualization using current widely-used web standards. it provides a systematic approach to achieve contextualization defining major components and their functionalities without deepening into details. it uses web services to connect to resources making them reusable and distributable. in addition, all technologies and platforms proposed in our system are available under general public license (gpl) hence facilitating immediate implementation. the paper ends with a real world scenario where m-learning could be the only solution."
19,an  analysis of elderly use of digital technology in thailand,",elderly, career preference, digitalization, digital technology, digital skill",2022-04-05,"the elderly population is on the rise, globally. it is an age group that should live to their fullest potential to enhance the quality of their life, should be prepared to live life to the fullest in a way that benefits them, their family, and society. the elderly should be able to access digital technology and benefit from it. therefore, it is necessary to educate the elderly choosing the right kind of digital technology to their quality of life, and protect themselves from cyber threats. this study performs an exploratory factor analysis of digital technology competency. a multistage random sampling method was used to obtain a sample of 225 elderly people in thailand. the tool used was a questionnaire on digital technology competency, which included 45 questions on a 5-point scale. data were analyzed using descriptive statistics and exploratory factor analysis. the exploratory factor analysis of digital technology competency for the elderly in thailand found six important components: 1) use of mobile operating systems, 2) data file management, 3) cloud data management, 4) use of support applications, 5) use of applications for communication, and 6) use of technology for security. thus, the elderly need to develop online media literacy to safely navigate the internet while creatively using data found in the virtual domain"
20,the effectiveness of darask platform as e-learning tool to improve the educational process during covid-19,",flexibility, covid 19",2022-04-05,"the globe is grappling with the covid-19 pandemic, which has enslaved the economy, including the educational sector. this epidemic has caused recent changes and disruptions in all aspects of life, this pandemic has compelled educational systems all across the world to find altarenate methods to keep the process of education going on. to cope with the current case, darasak platform is authorized by jordanian ministry of education to be an alternative choice for proceeding with the educational process. the goal of the current study is to know the impact of darasak platform to be compensate tool to perform the educational process during covid 19. the data were collected by questionnaires and distributed by webs side to students, teachers and parents. the result of the study shown that darasak platform was a new application to students so it was found that facilities, flexibility appropriateness and effectiveness of darasak platform were not up to expectation.  students were not satisfied about the performance of darasak platform.,"
21,an empirical analysis of user's continuance intention (uci) towards careem mobile application,",careem application, family confidence and women empowerment, user experience, e-word of mouth, jordan",2022-04-05,"this study aims at constructing a theoretical model to discover the main drivers on the users continuance intention (uci) to use the careem application in jordan. this study also focuses on exploring new factors appropriate to the jordanian environment that can shape people's behavior towards adopting this smart service. partial least square was performed to test the research model using 500 valid surveys. all constructs in this study were significant and accounted for 47.1% of the variance of continuance intention to use the careem application. careem user experience, e-word of mouth, financial benefits, and perceived platform quality are found strongest predictors toward intention to use at level (0.001). two predictors were at level (0.01) including perceived enjoyment and perceived innovativeness. the findings also indicate that family confidence and women empowerment are the weakest effects at level (0.05). this article provides important information for future researchers in the field of technology acceptance, and more specifically in the field of mobile phone applications in terms of adding new variables that contribute to understanding users' intention to continue using technology. some of the implications this study provides for designers and developers of mobile applications and institutions related to transport when providing mobile application services.,"
22,an experimental investigation of ‘drill-and-practice mobile apps and young children,",mobile apps, maths, learning, children, rcts",2022-04-05,"the choice of mobile applications (apps) for learning has been heavily relied on customer and teacher reviews, designers descriptions, and alignment with existing learning and human-computer interaction theories. there is limited empirical evidence to advise on the educational value of mobile apps as these are used by children. understanding the impact of mobile apps on young childrens learning is timely given the lack of evidence-based recommendations that could guide parents and teachers in selecting apps for their children. in this paper, we present the results of a series of randomised control trial (rcts) with 376 children aged 5 to 6 years old who interacted with two maths apps in three schools in the uk. pre/post-test comparisons revealed learning gains in both the control and intervention groups, suggesting that the selected applications are equally good to standard maths practice. implications for the selection and use of mobile apps are discussed. ,"
23,mobile augmented reality learning media with metaverse to improve student learning outcomes in science class,",mobile augmented reality, learning outcome, metaverse studio",2022-04-05,"the development of information and communication technology affects the learning methods and media used. augmented reality technology allows students to experience learning with objects that can be seen in person. the purpose of the study was to see how students learned when they used the metaverse app, which is mobile augmented reality software for science courses. the population group consists of 92 students from several schools in cluster i, depok subdistrict. then the sample was taken using the slovin formula until it obtained 75 samples of grade 5 students. this study employs experimental research techniques and a single group pre- and post-test. a t-test is used to analysed the collected data. according to the findings, using that metaverse applications has a favourable impact on students' learning outcomes. students can use the metaverse app to see better learning outcomes. students are also more interested in learning and can easily understand and discover what is being learned. in addition, students find it more fun to learn using the metaverse app, which is a mobile augmented reality."
24,enhancement of students learning outcomes through interactive multimedia,",animation media, solar system, learning outcomes",2022-04-05,"purpose of this study was to determine the effect of using animated video media on student learning outcomes in solar system science subjects and to determine the improvement in student learning outcomes in class vi sdn padurenan jaya.the research design used is a quantitative technique using a quasi-experimental method in the form of non-equivalent control group design. the variables in this study are, the independent variable is the use of animation media, while the dependent variable is student learning outcomes. the subjects of this study were students of class vi a and vi b at sdn padurenan jaya, totaling 52 students. the sample was determined by purposive sampling, namely, 28 students as the experimental group (vi a) and 26 students as the control group (vi b). data collection techniques in this study used multiple choice tests in the form of pretest and posttest. testing the requirements of the hypothesis using normality test (using chi squared analysis technique) and homogeneity test. the validity of the test items was carried out by expert judgment and testing instruments. the reliability of the instrument was test calculated by the kuder-richardson formula (kr-20) obtained r = 0.893 which means the reliability of the instrument is very high. the data analysis technique used was a separate group t-test (independent sample test). the t-test was used to determine differences in the level of student learning outcomes.based on the results of the study, the average score for the pretest control class was 46.54 and the average posttest was 64.04; while in the experimental class the average value of the pretest was 48.39 and the average value of the posttest was 74.82. the increase in learning outcomes for the control class was 17.50 and the experimental class was 26.43. analysis using all results posttest and tested by t-test with the acquisition of t count > t table (4.775 > 2.021), indicating that ho is rejected and ha is accepted, from these results it can be concluded that student learning outcomes using animated video media are greater than the results. student learning using conventional methods (lectures or blackboards).,"
25,the effectiveness of using interactive simulation in kindergarten childrens acquisition of physics concepts ,",interactive simulatation, physics concepts",2022-04-05,"the study aimed to investigate the effectiveness of using interactive simulation in developing some physics concepts in a sample of kindergarten children. to achieve the study objective, a semi-experimental method was used. the study sample consisted of the (45) kindergarten children of ‘the pink bird kindergarten in petra. they were randomly divided into two groups: an experimental group of (22) children who were taught using interactive simulation, and a control group of (23) children who were taught by the traditional way. contrary to the traditional method of education, the study results proved the effectiveness of interactive simulation in the acquisition of physics concepts among kindergarten children. it was also found that around 61% of the change in the dependent variable (physical concepts) is due to the use of interactive simulation in teaching. eventually, the study included a set of recommendations in the light of its results.,"
26,the impact of social media on the use of code mixing by generation z,",mix code, gen z, social media, sociolinguistics",2022-04-05,"generally, generation z mixes english and indonesia when communicating with each other. this is a sociolinguistic phenomenon called code-mixing, which impacts social media as a part of the development of information communication technology (ict). therefore, this study investigates the impact of social media on the use of code-mixing by generation z. this study was carried out at serang raya university, indonesia, where english is the only foreign language used to teach students. the research also aims to highlight the contribution of social media in code-mixing and determine the reasons this generation uses english and indonesian in social media. data were collected through self-completed questionnaires and interviews. the results showed that the use of social media had an impact on code-mixing between indonesian and english for gen z. ,"
27,developing a virtual nature laboratory of faculty social science (lav-fis) to assists field-based learning during pandemic: a need analysis review,",lav-fis , field-based learning, virtual, learning, covid-19",2022-04-05,"the covid-19 outbreak has affected several aspects of field-based learning. the best way to ensure the survival and safety of everyone involved in field-based learning is to adapt and integrate technology. in response to this problem, numerous innovations in learning technology that lead to the virtualization of the learning environment have begun to emerge. however, the various application products developed have fallen short of the expectations of students. as a result, in order to design the optimal virtual application for use in field-based learning, a needs analysis must be done. this study offers an understanding of student needs for virtual field-based learning applications. an online survey of 140 active university students was carried out to do so. the results showed that students require applications with sophisticated features that resemble the real world for the implementation of online field-based learning. they expect the incorporation of online meeting features, 360 virtual reality panorama, access to learning videos, augmented reality, learning materials, chatbox, and multimedia into the software that will be developed.,"
28,android-based interactive media to raise student learning outcomes in social science,",interactive media, android, learning outcomes",2022-04-05,"learning media is one of the important components in the process of implementing learning, especially during the current pandemic. but in reality there are still few teachers who use media in the learning process, causing student learning outcomes to decline. interactive media which is one of the media that can be used to attract students' attention by combining systems ranging from text, images, videos, and audio/sound can provide new experiences for students in learning. this study aims to determine student learning outcomes after using android-based interactive learning media in social science subjects. the population group consisted of 70 students from several schools in cluster 2, cipinang muara village. then samples were taken using the slovin formula to get 60 samples of fourth grade students. this study uses experimental research methods and uses a single group pre test - post test. the collected data were analyzed through t test. the results showed that android-based interactive media had a positive effect on student learning outcomes. students experienced a significant increase in learning outcomes by using this media. in addition, students feel more interested and easier to understand the material by using this application. the results showed that android-based interactive media had a positive effect on student learning outcomes. students experienced a significant increase in learning outcomes by using this media. in addition, students feel more interested and easier to understand the material by using this application. the results showed that android-based interactive media had a positive effect on student learning outcomes. students experienced a significant increase in learning outcomes by using this media. in addition, students feel more interested and easier to understand the material by using this application.,"
29,examining teachers intention to integrate robotics-based storytelling activities in primary schools,",educational robotics, primary school, professional teacher development, storytelling",2022-03-22,"though expanding computational thinking to primary school students has become more prevalent, there is a lack of appropriate didactics. educational robotics offers a possible approach. however, innovations can only find their way into the classroom if teachers find them feasible and meaningful. thus, appropriate training and further education of teachers are becoming a necessity. this paper reports on investigating professional development for teachers in programming robots by integrating the method of storytelling in their teaching. it draws on the technology usage inventory (tui) model to explore how an interdisciplinary intervention with programmable robots, combined with the storytelling method “tell, draw & code” can influence the intention to use them in the classroom. comparing the pre-and post-test and the qualitative data analysis shows a significant increase in positive attitudes towards the use of robots. the learning scenarios produced by the participants show how successful implementation can succeed. these findings highlight the need for teachers to explore, reflect, and experience the potential of new technologies as part of their teacher development to implement innovations sustainably. the quasi-experimental study shows that this problem-based and interdisciplinary didactic setting is particularly well received by teachers because it promotes computational thinking, narrative, and reading skills in primary school students in equal measure, and it can be easily taught and transferred.,"
30,automated hydroponics notification system using iot,",hydroponics, smart agriculture, internet of things, notification",2022-03-22,"this research was conducted to increase the productivity of farmers and to plan the planting of crops by farmers when using a hydroponics system that controls various environmental conditions, in which plant growth factors such as temperature, humidity, water temperature, ph and electrical conductivity are important factors for hydroponics. the internet of things control and notifications enabling farmers to quickly modify and improve their crop treatment. this research focuses on use of the internet of things to control plant growth factors. displays and alerts are communicated to the user through a web application where, when comparing plants with controlled growth factors and unregulated systems, it can be seen controlled plant growth factors are in the desired range of the plant, whereas in uncontrolled systems there are unwanted values range of plant, which can cause the plant to not fully grow or even to wither. in this system, farmers are able to view plant growth factor data and can retrospectively view graphs displayed on the web application by this controlled system when the measuring sensors in the system are in range that plants do not want. it prompts farmers to manage the system, which allows them to fix the system quickly and with minimal damage to crops.,"
31,improvement of student learning motivation through word-wall-based digital game media,",digital game, learning motivation, wordwall",2022-03-22,"the development of technology has a lot of influence in the field of education, one of which is in terms of learning media. digital-based learning media are now being developed to create more fun learning, one of which is digital games. it is also known that digital games themselves positively influence increasing student motivation in the learning process. for this reason, the purpose of this study is to prove the effectiveness of digital game-based media in increasing motivation to learn science. the population group consisted of 129 students from cluster i, north sukabumi village schools. research sampling was carried out by simple random sampling to calculate the number of samples. the slovin formula was used, which resulted in 98 students as the sample. this study used experimental research methods with a single group pretest-posttest, as for the instrument in a questionnaire using a likert scale. the type of data analysis used in this research is an inferential analysis using a t-test.  the results of this study indicate that digital game media positively influences students' learning motivation. the literature review comprises 40 studies.  this study also shows that students experience increased learning motivation by using this digital game media. because with this digital game media, students become more motivated to follow and understand the learning material being taught.,"
32,hi world: the virtual book learning integrated augmented reality to increase knowledge of covid-19 prevention in the learning process post-pandemic era,",covid-19, disruptive era, hi world, smart book, augmented reality",2022-03-22,"this research aims to improve innovation hi world integrated with ar, testing the level of attraction of  hi world, and test the level of hi world's appropriateness for covid-19 patients. this research method is r&d involving the expert of covid-19 and digital media. the result from this research are: innovation of hi world improved to have a good level of appropriateness with a score of  90%; level of attraction with this book is good with a score of  95%, and hi world have design choices that are suitable for the requirement that covid-19 patients needs"
33,framework for gamification of online training platforms for employee engagement enhancement,",online training; gamification; game elements; engagement; employee",2022-03-22,"organizations have moved away from traditional classroom-based training to online training whereby employees can attend courses at their convenience either at home or in the workplace. this transition has been fuelled by lockdowns that governments worldwide have implemented to counter the spread of the covid-19 pandemic, where employees are expected to work or attend training from home. however, several issues including lack of employee engagement hinder the effective delivery of online corporate training. in recent years, gamification has been identified as a solution to lack of engagement in education. gamification involves the incorporation of game elements into non-game applications to encourage user engagement, where different combinations are used for different learning contexts. however, little research has been done to identify suitable game elements for the gamification of corporate online training. this study proposes a set of game elements to improve employee engagement with online training platforms. a step-by-step analysis of the literature led to the identification of nine potentially suitable game elements. these elements were evaluated by a group of experts selected from five well-known training providers in saudi arabia, who completed a semi-structured interview questionnaire about the usability, completeness, and usefulness of the elements. the result of the evaluation indicated that the identified game elements will be able to effectively and efficiently improve employee engagement. the set of nine game elements was then incorporated into a proposed framework for the gamification of online training platforms to enhance employee engagement.,"
34,music students perception towards music distance learning education during covid-19 pandemic: cross-sectional study in jordan,",covid-19, pandemic, distance learning, music education, e-learning",2022-03-22,"during covid-19 pandemic countries have faced various levels of covid-19 infection rates, and millions of students are affected by changing the educational process. however, many music schools have been faced with the challenge of dealing with a situation that necessitates emergency measures to continue the academic course in the midst of lock-downs and social distancing measures. therefore, it is important to evaluate the effectiveness of online methods of learning and to decide their feasibility and appropriateness for music students. thus, this research aimed to provide an analysis of music students perception towered music e-learning education during covid-19 pandemic, to study the situation of musicians in covid-19 and to study music distance learning knowledge, attitudes and practices and to develop suggestions for solving the problems. a sample of (83) students from the music department in the university of jordan completed a questionnaire. an online survey distributed the survey sought population and socio-economic information and information relating to electronic and online musical training; musical education during the covid 19 pandemic; mental music assessments; and the skills, attitudes and practices of e-learning. most respondents (76.2%) agreed that distance learning is applicable in music department. while (54.2 %) of the respondents agreed distance learning is a possible substitute for standard education. however, e-learning has actually been created as a modern way of improving the process of learning and improving learning performance.,"
35,stimuli generation for quality-of-experience evaluation of mobile applications,",quality of experience, qoe, mobile device, mobile applications",2022-03-22,"the assessment of quality-of-experience (qoe) corresponding to a given set of quality-of-service (qos) parameters is of high importance for any mobile network operator. methods for subjective qoe assessment such as multi stimulus test with hidden reference and anchors (mushra) or subjective assessment methodology for video quality (samviq) are based on collecting user feedback for one or several stimuli, i.e. differently processed versions of a source. generating these stimuli corresponding to a given set of qos parameters for a qoe assessment of a mobile application is a time-consuming, non-trivial task. therefore, in this paper we propose a novel publicly available open-source framework for stimuli generation for qoe assessment of mobile applications. it is based on the combination of network emulation and automatic user-interface control of a real mobile device, whose behavior is recorded and post-processed to generate suitable stimuli. the article presents the basic concept of the framework, describes its open-source implementation, and concludes with an initial evaluation of the framework based on typical types of mobile applications.,"
