paper_name,keywords_name,publishing_date,abstract,abstract2
"
			The Impact of Teaching by Using STEM Approach in The Development of Creative Thinking and Mathematical Achievement Among the Students of The Fourth Scientific Class
					",",											STEM Introduction, 											Innovative Thinking, 											Mathematical Achievement									,","2021-07-13,","The research aims to know the impact of science, technology, engineering, and mathematics education on both creative thinking and mathematical achievement. To achieve it, the two researchers followed the quasi-experimental approach with an experimental design for two groups, one experimental and the other a control. The research sample consisted of (32) female students from the fourth scientific grade in Al-Intisar Preparatory School for Girls / Al-Rasafa, First Directorate. The sample was chosen intentionally and was divided into two groups: a control group studying by the traditional method, their number (16), and an experimental group that applied the STEM approach, their number also (16). There was parity between the two research groups in the variables (chronological age, previous achievement in mathematics, innovative thinking). The research tools consist of testing innovative thinking skills (fluency, flexibility, originality, relationships) and achievement tests. The research experiment was applied before and after. To test the validity of the hypotheses, data were collected and then statistically analyzed using appropriate statistical methods. The results of the research found that there were statistically significant differences in both the tests of innovative thinking and mathematical achievement in favor of the experimental group that studied according to the STEM approach, and in light of the results, the researchers recommended several recommendations and suggestions.,",",					,,,					,,,				,"
"
			The Influence of Sports Activities on College Students' Social Adaptability
					",,"2021-07-28,","The cultivation of talents has always been the basis of the development of economy, science and technology and the overall strength of all countries. With the further deepening of China's reform and opening up, the rapid development of the market economy and the gradual improvement of the level of information technology, the education sector is paying more attention to the cultivation of talents in all walks of life in China. As for college students is about to walk into society, how to learned during college all kinds of professional knowledge and skills in the future life and work, how reasonable in the future workplace, properly handle interpersonal relationships, how to better integrate into social life, reflect their own value, and to raise their competitive strength, and observe the rules and regulations, laws and regulations, Have a good moral integrity, set up the correct world outlook, outlook on life, values. All these are closely related to the social adaptability of college students. Physical education is an important way to implement quality-oriented education and cultivate talents with all-round development, which was clearly pointed out in the Guidelines for Physical Education Course Teaching in National Colleges and Universities issued in 2002.In the given physical education teaching objectives also explains that the students are required to show good sports ethics and cooperative spirit as well as correctly deal with the relationship between competition and cooperation.,",",					,,,					,,,				,"
"
			Image Denoising Using Multiwavelet Transform with Different Filters and Rules
					",",											Denoising, 											Multiwavelet, 											Thresholding, 											Soft Thresholding									,","2021-08-11,","Image denoising is a technique for removing unwanted signals called the noise, which coupling with the original signal when transmitting them; to remove the noise from the original signal, many denoising methods are used. In this paper, the Multiwavelet Transform (MWT) is used to denoise the corrupted image by Choosing the HH coefficient for processing based on two different filters Tri-State Median filter and Switching Median filter. With each filter, various rules are used, such as Normal Shrink, Sure Shrink, Visu Shrink, and Bivariate Shrink. The proposed algorithm is applied Salt& pepper noise with different levels for grayscale test images. The quality of the denoised image is evaluated by using Peak Signal to Noise Ratio (PSNR). Depend on the value of PSNR that explained in the result section; we conclude that the (Tri-State Median filter) is better than (Switching Median filter) in denoising image quality, according to the results of applying rules the result of the Shrinking rule for each filter shows that the best result using first the Bivariate Shrink.,",",					,,,					,,,				,"
"
			Systematic Review of Enhancement of Artificial Bee Colony Algorithm Using Ant Colony Pheromone
					",",											Artificial bee colony, 											Pheromone, 											Ant Colony									,","2021-08-23,",,",					,,,					The artificial bee colony (ABC) is a well-studied algorithm developed to solve continuous function optimization problems by Karboga and Akay in 2009. ABC has been proven to be more effective than other biological-inspired algorithms with good exploration. However, ABC suffers from low exploitation and slow convergence in some cases. The ABC algorithm study has risen significantly over the past decade, with many researchers trying to improve ABC performance and apply it to solve problems. One method to enhance ABC is to borrow exploration technique from other algorithms. Researchers use pheromone, which is a technique used by Ant Colony optimization algorithm, to enhance ABC and addressed several aspects of using a pheromone to enhance the ABC. This systematic review aims to review and analysis articles about using pheromone to enhance ABC. Articles on related topics were systematically searched in four major databases namely Scopus, Web of Science, Association for Computing Machinery ACM and Google Scholar. To ensure that all research articles were considered the start date is not restrictions the search carry out till February 2021.Five articles were selected based on our inclusion and exclusion criteria for the systematic review. The results show that the use Pheromone to enhance ABC can increase the ABC exploitation ability and overcoming the late convergence. This paper also illustrates several potential pheromone using for future work.,,				,"
"
			The Acceptance of Mobile Learning: A Case Study of 3D Simulation Android App for Learning Physics
					",",											m-learning, 											3D-simulation, 											Android									,","2021-09-06,",,",					,,,					This study investigates the adoption of the mobile learning, 3D simulation Android app, as an innovative tool for learning in physics for high school students. The factors affecting the acceptance of mobile learning are also determined in this study. The proposed research model employs two constructs, Perceived Usefulness and Perceived Ease of Use, from Technology Acceptance Model (TAM) as a baseline and adds another relevant factor based on prior mobile learning adoption research, Perceived Enjoyment. Data are collected through questionnaires distributed to 50 high school students using Google Forms. Structural equation modeling (SEM) is used to analyze and develop the research model. The study finds that Perceived Enjoyment becomes the most influencing factor considered by high school students to use mobile learning, 3D simulation Android app, followed by Perceived Usefulness. However, the Perceived Ease of Use factor does not significantly influence the acceptance of the 3D simulation Android app.,,				,"
"
			The Relationship Pattern of Internet Usage Frequency, Generation Z Characteristics, and Teaching Method in the Millennium Era
					",",											correspondence analysis, 											generation z, 											internet, 											teaching method									,","2021-09-20,",,",					,,,					Generation Z students mount challenges to develop teaching methods in the millennium era due to their diverse characteristics from the previous generation as they are proficient in utilizing the internet, less attentive to each other and the environment, prefer immediate things regardless of all complex processes they shall go through. This study aims to seek the relationship pattern between Generation Z clusters, teaching methods, and internet usage frequency. This study involved 222 junior high school students in Jakarta. The two-step cluster, cross-tabulation, and correspondence analysis were used for data analysis. The method used is correspondence analysis. The findings indicated that internet usage frequency has a significant relationship with Generation Z clusters and teaching methods. The results concluded that students who use the internet less than five hours prefer the full tutorial method and group assignments, and those who use the internet more than five hours prefer tutorial and field assignments,,				,"
"
			i-TCE 2008 - International Conference on Technology, Communication and Education
					",,"2007-10-12,",,
"
			ICELW - The International Conference on E-Learning in the Workplace
					",,"2007-10-12,",,
"
			IMCL2008 - 3rd International Conference on Interactive Mobile and Computer Aided Learning
					",,"2007-10-12,",,
"
			A Remote WIRELESS Facility
					",,"2007-10-11,",,",					,,,					Continuing need for available distance learning facilities has led to the development of a remote lab facility focusing on wireless technology. In the field of engineering there is a student need of gaining experience in set-up, monitoring and maintenance of  802.11A/B/G based wireless LAN environments.,,				,"
"
			From the Editor
					",,"2007-10-12,",,
"
			Factors that may contribute to the establishment of mobile learning in institutions â?? Results from a Survey
					",",											distance education, 											education innovation, 											mobile learning, 											mLearning, 											mobile devices.									,","2007-10-11,",,",					,,,					This paper reports on a survey investigating the role that differences in expectations and perceptions of mobile learning and mobile devices play in establishing mobile learning at an educational institution.   Responses from institutions with no institutional plans for mobile learning and others that do plan or currently have developed mobile learning programmes were compared.  Various factors that may contribute to the establishment of mobile learning in educational institutions were therefore also investigated.  These factors include, amongst other, expectations concerning the impact of mobile technologies on teaching and learning, and perceptions concerning mobile learning applications and mobile learning activities.,,				,"
"
			Potentials and Challenges of Mobile Media in Museums
					",",											Adaptive systems, 											informal learning, 											information retrieval, 											mobile communication, 											museums, 											unsupervised learning									,","2007-10-11,",,",					,,,					In this article we discuss potential scenarios of use for mobile media in museums and the challenges they pose. We examine how the characteristics of mobile technology suit the specific characteristics of a museum setting. Based on these considerations different ways to support visitors with mobile devices are put forward: attentional focus and guidance; satisfaction of situational interest; information adaptation to a specific visitor and to a specific location; information elaboration through facilitation of knowledge exchange and documentation of the visit, as well as assistance in exhibition evaluation. Implications for the development of mobile applications in museums are derived.,,				,"
"
			Mobile e-learning course scenario model on PDA
					",,"2007-10-11,",,",					,,,					Abstractâ?? Web-based services mobile learning can enable collaborative learning and access to different information sources in actual problem-solving situations. The PDAâ??s are now designed to be smaller and sleeker and are popular due to its portability and facility for wireless connection. Handheld computers can become an integral part of the learning activities. But due to the very small screen, limited memory capacity and a large diversity of mobile devices, a handheld seems to obstruct a good learning experience. Handling of learning materials is a challenge. Experimentation with learning path scenarios and based on the e-mindmap concept is set forward here.,,				,"
"
			Evaluation Methods on Usability of M-Learning Environments
					",,"2007-10-11,",,",					,,,					Nowadays there are different evaluation methods focused in the assessment of the usability of telematic methods. The assessment of 3rd generation web environments evaluates the effectiveness and usability of application with regard to the user needs. Wireless usability and, specifically in mobile phones, is concentrated in the validation of the features and tools management using conventional interactive environments. There is not a specific and suitable criterion to evaluate created environments and m-learning platforms, where the restricted and sequential representation is a fundamental aspect to be considered.,,The present paper exposes the importance of the conventional usability methods to verify both: the employed contents in wireless formats, and the possible interfaces from the conception phases, to the validations of the platform with such characteristics. ,,The development of usability adapted inspection could be complemented with the Remoteâ??s techniques of usability testing, which are being carried out these days in the mobile devices field and which pointed out the need to apply common criteria in the validation of non-located learning scenarios.,,				,"
"
			An Approach to Ad-hoc Messaging Networks Using Time Shifted Propagation
					",",											ad-hoc messaging network, 											mobile ad-hoc network, 											network simulation, 											time shifted routing, 											store and foreward message propagation									,","2007-10-12,",,",					,,,					Many communication devices, like mobile phones and PDAs, are enabled for near field communication by using Bluetooth. Many approaches dealt so far with the attempt to transfer mobile ad-hoc networks (MANET) to the mechanism of the â??fixed internet,,				,"
"
			Contextual Mobile Learning: A Step Further to Mastering Professional Appliances
					",",											M-learning, 											contextual learning, 											just-in-time learning, 											learning by doing, 											wearable computer, 											Computer Augmented Environment, 											cooperative activities									,","2007-10-11,",,",					,,,					In this paper we describe our approach whose objective is to apply MOCOCO concepts to e-learning. After a short presentation of MOCOCO (Mobility, Cooperation, Contextualization) and IMERA (Mobile Interaction in the Augmented Real Environment) principles we will discuss their use in a project called HMTD (Help Me To Do) whose aim is to use wearable computer for a framework of activities of better use, maintenance and repairing of professional appliances. We will successively describe m-learning scope, contextualization and cooperation advantages as well as learning methods. A case study of configuration of wearable computer and its peripherals, taking into account context, in-situ storage, traceability and regulation in these activities finishes this paper.,,				,"
"
			Web-based Context-Aware m-Learning Architecture
					",",											Context-awareness, 											educational technology, 											m-Learning, 											mobile aided learning, 											ontology									,","2007-10-11,",,",					,,,					Context awareness is essential in mobile learning being a highly personalized environment with diverse capabilities. Major challenges of context awareness are to define the learning context, how to sense it, and how to react to changes. Our proposed system provides a general architecture that facilitates contextualization using current widely-used web standards. It provides a systematic approach to achieve contextualization defining major components and their functionalities without deepening into details. It uses web services to connect to resources making them reusable and distributable. In addition, all technologies and platforms proposed in our system are available under General Public License (GPL) hence facilitating immediate implementation. The paper ends with a real world scenario where m-Learning could be the only solution.,,				,"
"
			Malaysian Undergraduates’ Perceptions of Online Approach via Skype in Developing Speaking Skills
					",",											Skype, 											Speaking Skills, 											Online Platforms, 											Perceptions, 											Malaysian Undergradu-ates									,","2021-09-20,",,",					,,,					Speaking skill pedagogy has always remained a huge enigma for English as a Second Language (ESL) educators. Despite the challenges, the need to master the skills prevail in academia. The undergraduates especially those from the technical division seem to grapple with the ability to perform well in their studies and market their products upon employment due to the inability to communicate well in English. Nowadays, there are numerous platforms available for ESL learners to improve their speaking proficiency. Thus, this paper intended to study the effectiveness of using Skype as an online platform to help students enhance their confidence in speaking in English. 100 reflective journals of first year undergraduates who enrolled in an English course were collected. Meanwhile, 10 undergraduates were randomly selected to participate in the semi-structured interview. All the participants’ reflections and views were analyzed and thematized using Transana software. Four main themes emerged: account possession; familiarity; challenges; and features. It was found that many participants were aware of Skype but did not have the account prior to the study. Majority of the participants admitted that Skype activities helped them to converse better which enhanced their motivation to speak in English more confidently and fluently.,,				,"
"
			Everything is Going Electronic, so do Services and Service Quality: Bibliometric Analysis of E-Services and E-Service Quality
					",",											E-Services, 											E-Service Quality, 											Bibliometric Analysis									,","2021-09-20,",,",					,,,					The purpose of the study was to explore the developments in ‘e-services and e-service quality’ from 2000 to 2020. Data Source: Scopus database was used to conduct the bibliometric analysis of 404 documents. Method: VOSviewer soft-ware was used to analyse the research articles associated with ‘e-services and e-service quality’ research. Search was limited to keywords of ‘e-services OR e-service and e-service quality’. Findings: Results revealed that the field of ‘Busi-ness, Management and Accounting’ had the highest number of publications. To-tal Quality Management and Business Excellence was found at the top among the most productive journals in chosen search. Chang W.-I. and Yuan S.-T. from Taiwan were found to be the leading authors among top ten authors. United States and National Cheng Kung University of Taiwan were found to be the lead-ing country and institution in the selected search of e-service and e-service quali-ty. Originality/ Value: This study, to best of our knowledge, is the first of its kind in mapping the ‘e-services and e-service quality’ literature in Scopus. This will aid in shaping the central theme and set the future research directions for the researchers.,,				,"
"
			Scientific Mapping of Industry 4.0 Research: A Bibliometric Analysis
					",",											Industry 4.0, 											Manufacturing, 											Bibliometric analysis, 											Scopus									,","2021-09-20,","The fourth industrial revolution is progressing very rapidly. This research aims to investigate the research patterns and trends of industry 4.0 research with a focus on manufacturing. This bibliometric analysis is performed on data of the past five years (2016 to 2020) retrieved from the Scopus database. This research is conducted on 1426 articles in which the top productive countries, authors, institutions, and most cited articles were investigated. Findings demonstrated that Italy, the United States, and China are the most active countries in terms of research publications. South China University of Technology (China) has been identified as the most productive institution.  Wan, J., Li, D., Rauch, E. were found to be the most productive authors. Industry 4.0 is primarily focused on the fields of engineering and computer science and sustainability is the most prolific journal. Co-occurrence analysis of keywords, co-authorship analysis of authors and countries were carried out along with bibliographic coupling of documents using VoS viewer which is the most common information visualisation software. This article summarises the growth of Industry 4.0 in the past five years and gives a short overview of the related works and applications of Industry 4.0.,",",					,,,					,,,				,"
"
			Impact of Industry 4.0 on Healthcare: A Systematic Literature Review (SLR) from the Last Decade
					",",											Industry 4.0, 											healthcare, 											digital health, 											systematic review									,","2021-09-20,","This study aims to analyze the impact of industry 4.0 on the healthcare system. Scopus database is used to extract the data, and 297 articles are initially found in the database. We used the PRISMA statement 2015 to include and exclude data; the final 48 articles were included for the review. The author's keyword and VOS viewer co-occurrence of the terms are classifying the same result. The records are presented in three major categories, and outcomes are discussed accordingly in the classification of literature. Healthcare systems, cloud computing digital technologies are the major research areas in industry 4.0 in the last decade. Healthcare is significantly improved due to the technologies and services influenced by industry 4.0. The findings of the study showing that industry 4.0 is enhancing standards of healthcare significantly. Industry 4.0 enables many new technologies, like blockchain, big data, cloud computing, and IoTs, to track patients' medical records. That more accessible for healthcare professionals to understand the patient's history and deal accordingly.,",",					,,,					,,,				,"
"
			Digital Readiness for Social Educators in Health Care and Online Learning During COVID-19 Pandemic: A Bibliometric Analysis
					",",											Digital readiness, 											COVID-19, 											student development and success									,","2021-09-20,","Digital technologies have been earsplittingly discussed for a long time with multi-sides of enormous benefits and challenges in educational application. When the Covid19 pandemic has outbreak worldwide, global governments have popularly employed the movement control order (MCO) and social distances policies, international borders closed, schools and higher education applied for fully online courses. Several studies show that digital readiness is the crucial factor that significantly impacts students' satisfaction and success in online learning. This study will analyze the overall resources and digital readiness in multi-sides to enhance student learning and development outcomes through an online learning environment. For this purpose, Scopus and web of science databases are used to find the literature. The final 32 articles are select for the S.L.R. (systematic literature review).  The bibliometric analysis will conduct for text frequency co-occurrence to identify the cluster themes. The vital step of data classification will process according to the author's segmentation and published research settings. In the last findings of the study, reports will explain past literature and recent outbreak. The findings cover three main themes: digital readiness in learning management, digital readiness for learners, and digital readiness for educators. During the covid19 pandemic, the concept of digital readiness for educators concealed in both healthcare advising and lesson teaching in home-based learning models. These findings are expected to benefit stakeholders involved in online teaching and learning during and resilient post-Covid-19 pandemic.,",",					,,,					,,,				,"
"
			Mobile-Based Application: The Designation of Energy Saving Smart Light System for Monitoring and Controlling
					",",											Energy Save, 											Arduino, 											Mobile Apps, 											LED, 											Sensor									,","2021-09-20,","The use of lights are the command sources in our life, anytime and everywhere. On trending of demands, the alternative sources are important to increase the satisfaction on user requirement. While, saving energy is another  issue to be considered on the light system designation. Therefore, this research provides the details on the implementation of the smart lamp with controlled light system based on Arduino and mobile application usage to save the energy. Smart lamp is a finest way to minimize and preserve light with the remote system in order to monitor and control the brightness of light. This research is created to design the energy saving smart light system via mobile application and devices. It is a minor prototype that is fully automated and controlled by Arduino board. The designation begin with identification of input of LDR sensor, PIR sensor and circuit setting. Next, the integration of hardware and software is implemented for Arduino program, mobile application and the devices. Lastly, the testing process is executed and the data is collected and analysed. The overall system has been experimentally validated with the scenario as setup. Through monitoring and controlling the light in such a way is always accurately matched to the actual need that allows to save on the energy usage and costs, as well as to improve the human comfort and efficiency.,",",					,,,					,,,				,"
"
			Exploratory Study on the Online Learning Understanding Based on Movement and Condition in Sitting Position
					",",											Orientation, 											Accelerometer, 											Sound Level, 											Hear Rate, 											Light of Intensity									,","2021-09-20,","This research study the relationship between the understanding of online learning during Movement Control Order (MCO) due to pandemic Covid-19 and the movement condition through the sensor’s parameters sensed by smartphone. The studies carried out to track the student’s movement and conditions in sitting position while online class conducted and collect the data recorded by using smartphone sensors. The Apps AndroSensor is used to measure the Light intensity (lux), Orientation (axis x, y and z), Sound Level (dB) and Heart Rate (bpm). The understanding of online learning is measured using survey and questionnaire. The respondents that involves on this research are consists from different universities. Multiple Linear Regression was used to conclude the relationship between the parameters and the understanding of online learning. Total 60 students were involved in this study. Students that are selected has followed the criteria needed which are height, weight and age. ,",",					,,,					,,,				,"
"
			The Internet Use for Autonomous Learning During COVID-19 Pandemic and its Hindrances
					",",											Internet, 											Learning Autonomy, 											Attitude, 											Hindrance, 											Covid-19 pandemic									,","2021-09-20,","The outbreak of COVID-19 pandemic has brought the dependence on the online activities as new behaviors in various aspects of society including education. It defines the reliance upon internet access for learning practices and the tendency toward learning autonomy. Yet, the sudden emergence of the pandemic causes problematic circumstances for learners. Not all learners are ready to be autonomous and to have internet infrastructure. Within this context, the current study addresses learners’ attitudes toward learning autonomy and examines what hinder them to be autonomous. As a descriptive research, this study involves 101 respondents living in Bitung city, a fast growing and harbor city in North Sulawesi, Eastern Indonesia. They are asked to fill the kind of Likert questionnaire which constitutes the source of data which are statistically analyzed. The results indicates that learners dominantly show positive attitude toward the idea of being autonomous in this pandemic era. In addition, several factors such as bad signal, distraction, self-discipline and lack of motivation occupy the dominant factors hinder learners to establish learning autonomy. ,",",					,,,					,,,				,"
"
			Dual Mode Module as New Innovation in Learning Chemistry: Project Based Learning Oriented
					",",											Project Based Learning, 											Chemistry, 											Rate of Reaction, 											Science Process Skills, 											Chemical Representation									,","2021-09-20,","Chemistry is branch of science that is different because of chemical representations. The chemical representation made students assumed that chemistry is difficult. Students must master chemical representation to be able understand chemistry deeply. Besides, science process skills are crucial skills in learning chemistry, however, the students’ science process skills are rare to be involved. Chemical representation and science process skills have relationship each other.  Nowadays, it was still difficult to find module could be used either face-to-face learning or online learning. Therefore, this study aimed to develop valid module integrated chemical representation and science process skills, and can be used in face-to-face learning and online learning (dual mode module) and to investigate teachers’ response about module. The research design used was ADDIE, data collected by using online validation form that was given to 6 validators to assess module based on suitability content, potential effectiveness, and overall satisfaction. To investigate chemistry teachers’ response to module, the online questionnaire given to teachers and it was further analyzed using percentage and compare to criteria of validity and criteria of response user. Th result found that module developed is valid with suitability content is 90.7%, potential effectiveness is 92%, and overall satisfaction is 92.5%. The chemistry teachers’ response showed that this module is very good criteria (92.36%). Therefore, dual mode module hopefully would be used in learning chemistry as media in face-to-face learning and online learning and also support chemical representation and science process skills among students.   ,",",					,,,					,,,				,"
